Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA,week,year,game_id
1.0,5:10,4.0,22.0,MIN 48,7.0,0.0,"Ryan Wright punts 45 yards, returned by Avery Williams for 11 yards (tackle by Trent Sherfield)",-0.19,-0.04,14.0,2024,197
1.0,5:01,1.0,10.0,ATL 18,7.0,0.0,Kirk Cousins pass complete deep middle to Darnell Mooney for 24 yards (tackle by Camryn Bynum and Andrew Van Ginkel),0.04,1.73,14.0,2024,197
1.0,4:11,1.0,10.0,ATL 42,7.0,0.0,Bijan Robinson up the middle for 3 yards (tackle by Blake Cashman and Harrison Smith),1.73,1.59,14.0,2024,197
1.0,3:37,2.0,7.0,ATL 45,7.0,0.0,Bijan Robinson left tackle for 5 yards (tackle by Camryn Bynum and Andrew Van Ginkel),1.59,1.55,14.0,2024,197
1.0,2:57,3.0,2.0,ATL 50,7.0,0.0,Tyler Allgeier left guard for 7 yards (tackle by Josh Metellus),1.55,2.72,14.0,2024,197
1.0,2:20,1.0,10.0,MIN 43,7.0,0.0,Tyler Allgeier right guard for 5 yards (tackle by Jerry Tillery),2.72,2.85,14.0,2024,197
1.0,1:42,2.0,5.0,MIN 38,7.0,0.0,Kirk Cousins pass incomplete short right intended for Drake London (defended by Jalen Redmond),2.85,2.15,14.0,2024,197
1.0,1:36,3.0,5.0,MIN 38,7.0,0.0,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Blake Cashman),2.15,0.72,14.0,2024,197
1.0,1:32,4.0,5.0,MIN 38,7.0,0.0,Kirk Cousins pass incomplete short right intended for Ray-Ray McCloud,0.72,-1.47,14.0,2024,197
1.0,1:28,1.0,10.0,MIN 38,7.0,0.0,Aaron Jones right end for 13 yards (tackle by Kaden Elliss and Jessie Bates),1.47,2.32,14.0,2024,197
1.0,0:46,1.0,10.0,ATL 49,7.0,6.0,"Sam Darnold pass complete deep right to Jordan Addison for 49 yards, touchdown",2.32,7.0,14.0,2024,197
1.0,0:37,,,ATL 15,7.0,7.0,Will Reichard kicks extra point good,0.0,0.0,14.0,2024,197
1.0,0:37,,,MIN 35,7.0,7.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
1.0,0:37,1.0,10.0,ATL 30,7.0,7.0,Bijan Robinson left end for 9 yards (tackle by Harrison Phillips and Camryn Bynum),0.94,1.61,14.0,2024,197
2.0,15:00,2.0,1.0,ATL 39,7.0,7.0,Bijan Robinson right end for 2 yards (tackle by Jonathan Greenard),1.61,1.66,14.0,2024,197
2.0,14:20,1.0,10.0,ATL 41,7.0,7.0,Bijan Robinson right end for 12 yards (tackle by Josh Metellus),1.66,2.46,14.0,2024,197
2.0,13:37,1.0,10.0,MIN 47,7.0,7.0,Kirk Cousins pass deep right intended for Drake London is intercepted by Josh Metellus at MIN-31 and returned for 4 yards (tackle by Drake London),2.46,-1.27,14.0,2024,197
2.0,13:29,1.0,10.0,MIN 35,7.0,7.0,Aaron Jones up the middle for 3 yards (tackle by Kaden Elliss),1.27,1.13,14.0,2024,197
2.0,12:49,2.0,7.0,MIN 38,7.0,7.0,Sam Darnold pass incomplete deep left intended for Jordan Addison,1.13,0.43,14.0,2024,197
2.0,12:42,3.0,7.0,MIN 38,7.0,7.0,Sam Darnold scrambles left end for 5 yards (tackle by Jessie Bates),0.43,-0.52,14.0,2024,197
2.0,11:53,4.0,2.0,MIN 43,7.0,7.0,"Ryan Wright punts 57 yards, touchback.",-0.52,-0.28,14.0,2024,197
2.0,11:45,1.0,10.0,ATL 20,7.0,7.0,Tyler Allgeier left end for 6 yards (tackle by Blake Cashman),0.28,0.54,14.0,2024,197
2.0,11:13,2.0,4.0,ATL 26,7.0,7.0,Tyler Allgeier right guard for 3 yards (tackle by Josh Metellus),0.54,0.23,14.0,2024,197
2.0,10:34,3.0,1.0,ATL 29,7.0,7.0,Tyler Allgeier up the middle for 2 yards (tackle by Jonathan Bullard),0.23,1.0,14.0,2024,197
2.0,9:55,1.0,10.0,ATL 31,7.0,7.0,Bijan Robinson right end for 2 yards (tackle by Blake Cashman),1.0,0.73,14.0,2024,197
2.0,9:14,2.0,8.0,ATL 33,7.0,7.0,Kirk Cousins pass complete short middle to Charlie Woerner for 11 yards (tackle by Harrison Smith),0.73,1.86,14.0,2024,197
2.0,8:29,1.0,10.0,ATL 44,7.0,7.0,"Penalty on Chris Lindstrom: False Start, 5 yards (accepted) (no play)",1.86,1.53,14.0,2024,197
