Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA,week,year,game_id
4.0,2:38,1.0,15.0,MIN 40,21.0,42.0,"Kirk Cousins pass complete short middle to Kyle Pitts for no gain (tackle by Kamu Grugier-Hill). Penalty on Brian Asamoah: Defensive Offside, 5 yards (accepted) (no play)",2.92,3.25,14.0,2024,197
4.0,2:33,1.0,10.0,MIN 35,21.0,42.0,Bijan Robinson left end for 6 yards (tackle by Josh Metellus and Theo Jackson),3.25,3.51,14.0,2024,197
4.0,2:10,2.0,4.0,MIN 29,21.0,42.0,Kirk Cousins pass complete short left to Darnell Mooney for 9 yards (tackle by Kamu Grugier-Hill),3.51,4.24,14.0,2024,197
4.0,2:00,1.0,10.0,MIN 20,21.0,42.0,"Penalty on Matthew Bergeron: False Start, 5 yards (accepted) (no play)",4.24,3.91,14.0,2024,197
4.0,2:00,1.0,15.0,MIN 25,21.0,42.0,Ray-Ray McCloud right end for 3 yards (tackle by Fabian Moreau and Bo Richter),3.91,3.42,14.0,2024,197
4.0,1:29,2.0,12.0,MIN 22,21.0,42.0,Kirk Cousins pass complete short right to Drake London for 9 yards (tackle by Camryn Bynum and Fabian Moreau),3.42,4.1,14.0,2024,197
4.0,0:55,3.0,3.0,MIN 13,21.0,42.0,Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Theo Jackson),4.1,2.67,14.0,2024,197
4.0,0:48,4.0,3.0,MIN 13,21.0,42.0,Kirk Cousins pass incomplete short middle intended for Kyle Pitts,2.67,0.28,14.0,2024,197
4.0,0:44,1.0,10.0,MIN 14,21.0,42.0,Nick Mullens kneels for -1 yards,-0.28,-0.85,14.0,2024,197
4.0,0:31,2.0,11.0,MIN 13,21.0,42.0,Nick Mullens kneels for -1 yards,-0.85,-1.65,14.0,2024,197
