Unnamed: 0,CHI,SFO,week,year,game_id
First Downs,14,22,14.0,2024,206
Rush-Yds-TDs,21-68-0,34-131-3,14.0,2024,206
Cmp-Att-Yd-TD-INT,18-24-140-2-0,20-26-325-2-1,14.0,2024,206
Sacked-Yards,7-46,1-4,14.0,2024,206
Net Pass Yards,94,321,14.0,2024,206
Total Yards,162,452,14.0,2024,206
Fumbles-Lost,1-1,0-0,14.0,2024,206
Turnovers,1,1,14.0,2024,206
Penalties-Yards,2-30,7-31,14.0,2024,206
Third Down Conv.,4-10,6-12,14.0,2024,206
Fourth Down Conv.,0-0,2-2,14.0,2024,206
Time of Possession,28:12,31:48,14.0,2024,206
