Unnamed: 0,SEA,ARI,week,year,game_id
First Downs,18,21,14.0,2024,204
Rush-Yds-TDs,31-176-2,23-121-0,14.0,2024,204
Cmp-Att-Yd-TD-INT,24-30-233-1-0,25-38-259-2-2,14.0,2024,204
Sacked-Yards,0-0,2-24,14.0,2024,204
Net Pass Yards,233,235,14.0,2024,204
Total Yards,409,356,14.0,2024,204
Fumbles-Lost,1-0,1-0,14.0,2024,204
Turnovers,0,2,14.0,2024,204
Penalties-Yards,9-62,6-49,14.0,2024,204
Third Down Conv.,7-15,4-12,14.0,2024,204
Fourth Down Conv.,0-0,1-1,14.0,2024,204
Time of Possession,33:02,26:58,14.0,2024,204
