Unnamed: 0,CIN,DAL,week,year,game_id
First Downs,23,17,14.0,2024,208
Rush-Yds-TDs,19-74-0,25-156-0,14.0,2024,208
Cmp-Att-Yd-TD-INT,33-44-369-3-1,16-31-183-2-1,14.0,2024,208
Sacked-Yards,2-10,3-17,14.0,2024,208
Net Pass Yards,359,166,14.0,2024,208
Total Yards,433,322,14.0,2024,208
Fumbles-Lost,1-0,1-1,14.0,2024,208
Turnovers,1,2,14.0,2024,208
Penalties-Yards,10-77,4-36,14.0,2024,208
Third Down Conv.,4-10,4-12,14.0,2024,208
Fourth Down Conv.,0-1,1-2,14.0,2024,208
Time of Possession,33:11,26:49,14.0,2024,208
