Quarter,Time,Down,ToGo,Location,CLE,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Steelers to receive the opening kickoff.",,,14.0,2024,199
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,199
1.0,15:00,1.0,10.0,PIT 30,0.0,0.0,"Penalty on Shelby Harris: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.94,1.67,14.0,2024,199
1.0,15:00,1.0,5.0,PIT 35,0.0,0.0,Najee Harris left guard for 3 yards (tackle by Juan Thornhill),1.67,1.47,14.0,2024,199
1.0,14:34,2.0,2.0,PIT 38,0.0,0.0,Russell Wilson pass complete short right to MyCole Pruitt for -1 yards (tackle by Devin Bush),1.47,0.63,14.0,2024,199
1.0,13:52,3.0,3.0,PIT 37,0.0,0.0,Russell Wilson pass incomplete deep left intended for Mike Williams,0.63,-0.91,14.0,2024,199
1.0,13:43,4.0,3.0,PIT 37,0.0,0.0,"Corliss Waitman punts 60 yards, returned by Kadarius Toney for 14 yards (tackle by Ben Skowronek and Miles Killebrew)",-0.91,0.06,14.0,2024,199
1.0,13:31,1.0,10.0,CLE 17,0.0,0.0,Nick Chubb up the middle for -5 yards (tackle by T.J. Watt),-0.06,-1.15,14.0,2024,199
1.0,12:55,2.0,15.0,CLE 12,0.0,0.0,Jameis Winston pass incomplete short middle,-1.15,-2.01,14.0,2024,199
1.0,12:49,3.0,15.0,CLE 12,0.0,0.0,Jameis Winston sacked by Alex Highsmith for -7 yards,-2.01,-2.49,14.0,2024,199
1.0,12:10,4.0,22.0,CLE 5,0.0,0.0,"Corey Bojorquez punts 42 yards, returned by Calvin Austin for 11 yards (tackle by D'Anthony Bell and Nathaniel Watson)",-2.49,-3.18,14.0,2024,199
1.0,12:02,1.0,10.0,CLE 36,0.0,0.0,Najee Harris left guard for 20 yards (tackle by Denzel Ward),3.18,4.51,14.0,2024,199
1.0,11:26,1.0,10.0,CLE 16,0.0,0.0,Najee Harris up the middle for 7 yards (tackle by Grant Delpit and Ronnie Hickman),4.51,5.16,14.0,2024,199
1.0,10:44,2.0,3.0,CLE 9,0.0,0.0,Najee Harris left tackle for 2 yards (tackle by Myles Garrett),5.16,4.85,14.0,2024,199
1.0,10:08,3.0,1.0,CLE 7,0.0,0.0,"Russell Wilson left guard for no gain (tackle by Jowon Briggs). Penalty on Dan Moore: Illegal Formation, 5 yards (accepted) (no play)",4.85,3.73,14.0,2024,199
1.0,9:41,3.0,6.0,CLE 12,0.0,0.0,Russell Wilson pass incomplete short middle intended for Jaylen Warren,3.73,2.66,14.0,2024,199
1.0,9:35,4.0,6.0,CLE 12,0.0,3.0,Chris Boswell 30 yard field goal good,2.66,3.0,14.0,2024,199
1.0,9:32,,,PIT 35,0.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,199
1.0,9:32,1.0,10.0,CLE 30,0.0,3.0,Jerome Ford right tackle for 7 yards (tackle by Patrick Queen),0.94,1.34,14.0,2024,199
1.0,8:55,2.0,3.0,CLE 37,0.0,3.0,Nick Chubb up the middle for 7 yards (tackle by Alex Highsmith and Patrick Queen),1.34,1.86,14.0,2024,199
1.0,8:09,1.0,10.0,CLE 44,0.0,3.0,Nick Chubb left tackle for no gain (tackle by T.J. Watt and Larry Ogunjobi),1.86,1.32,14.0,2024,199
1.0,7:25,2.0,10.0,CLE 44,0.0,3.0,Jameis Winston pass complete deep middle to Elijah Moore for 20 yards (tackle by DeShon Elliott),1.32,3.18,14.0,2024,199
1.0,6:42,1.0,10.0,PIT 36,0.0,3.0,Jameis Winston pass incomplete short middle intended for David Njoku (defended by Damontae Kazee),3.18,2.64,14.0,2024,199
1.0,6:38,2.0,10.0,PIT 36,0.0,3.0,Jameis Winston pass complete short left to Jerome Ford for 1 yard (tackle by Payton Wilson),2.64,2.08,14.0,2024,199
1.0,5:56,3.0,9.0,PIT 35,6.0,3.0,"Jameis Winston pass complete deep middle to Jerry Jeudy for 35 yards, touchdown",2.08,7.0,14.0,2024,199
