Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Titans to receive the opening kickoff.",,,14.0,2024,200
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 68 yards, returned by Tyjae Spears for 25 yards (tackle by Josiah Deguara and Brenton Strange)",0.0,0.41,14.0,2024,200
1.0,14:55,1.0,10.0,TEN 22,0.0,0.0,Tony Pollard right tackle for 14 yards (tackle by Antonio Johnson),0.41,1.33,14.0,2024,200
1.0,14:20,1.0,10.0,TEN 36,0.0,0.0,Tony Pollard left tackle for 5 yards (tackle by Maason Smith),1.33,1.47,14.0,2024,200
1.0,13:45,2.0,5.0,TEN 41,0.0,0.0,Tony Pollard left tackle for 4 yards (tackle by Devin Lloyd),1.47,1.29,14.0,2024,200
1.0,13:08,3.0,1.0,TEN 45,0.0,0.0,Tony Pollard left guard for 8 yards (tackle by Foyesade Oluokun),1.29,2.46,14.0,2024,200
1.0,12:32,1.0,10.0,JAX 47,0.0,0.0,Tyjae Spears left guard for 7 yards (tackle by Jeremiah Ledbetter),2.46,2.86,14.0,2024,200
1.0,11:51,2.0,3.0,JAX 40,0.0,0.0,Tyjae Spears up the middle for 2 yards (tackle by Tyler Lacy),2.86,2.41,14.0,2024,200
1.0,11:12,3.0,1.0,JAX 38,0.0,0.0,Tony Pollard up the middle for 3 yards (tackle by Tyson Campbell and Travon Walker),2.41,3.25,14.0,2024,200
1.0,10:35,1.0,10.0,JAX 35,0.0,0.0,Tony Pollard right end for 1 yard (tackle by Foyesade Oluokun),3.25,2.84,14.0,2024,200
1.0,9:58,2.0,9.0,JAX 34,0.0,0.0,Will Levis pass complete short left to Calvin Ridley for 6 yards (tackle by Antonio Johnson),2.84,2.94,14.0,2024,200
1.0,9:23,3.0,3.0,JAX 28,0.0,0.0,Tyjae Spears up the middle for 1 yard (tackle by Maason Smith and DaVon Hamilton),2.94,1.8,14.0,2024,200
1.0,8:37,4.0,2.0,JAX 27,0.0,3.0,Nick Folk 46 yard field goal good,1.8,3.0,14.0,2024,200
1.0,8:32,,,TEN 35,0.0,3.0,"Nick Folk kicks off 54 yards, returned by Keilan Robinson for 14 yards (tackle by Cedric Gray)",0.0,0.61,14.0,2024,200
1.0,8:27,1.0,10.0,JAX 25,0.0,3.0,Mac Jones scrambles left guard for 2 yards (tackle by Darrell Baker),0.61,0.33,14.0,2024,200
1.0,7:50,2.0,8.0,JAX 27,0.0,3.0,Travis Etienne right end for 7 yards (tackle by Luke Gifford and Arden Key),0.33,0.56,14.0,2024,200
1.0,7:10,,,,,,Timeout #1 by Jacksonville Jaguars,,,14.0,2024,200
1.0,7:10,3.0,1.0,JAX 34,0.0,3.0,Tank Bigsby up the middle for 1 yard (tackle by Jeffery Simmons and Luke Gifford),0.56,1.27,14.0,2024,200
1.0,6:13,1.0,10.0,JAX 35,0.0,3.0,Mac Jones pass incomplete short left,1.27,0.72,14.0,2024,200
1.0,6:05,2.0,10.0,JAX 35,0.0,3.0,Tank Bigsby up the middle for no gain (tackle by Luke Gifford),0.72,0.04,14.0,2024,200
1.0,5:27,3.0,10.0,JAX 35,0.0,3.0,Mac Jones pass complete short right to Travis Etienne for 21 yards (tackle by Amani Hooker),0.04,2.65,14.0,2024,200
1.0,4:51,1.0,10.0,TEN 44,0.0,3.0,Mac Jones pass incomplete deep left intended for Brian Thomas,2.65,2.11,14.0,2024,200
1.0,4:45,2.0,10.0,TEN 44,0.0,3.0,Tank Bigsby left end for -1 yards (tackle by Harold Landry and Otis Reese),2.11,1.29,14.0,2024,200
1.0,4:02,3.0,11.0,TEN 45,0.0,3.0,"Penalty on Walker Little: False Start, 5 yards (accepted) (no play)",1.29,0.63,14.0,2024,200
1.0,3:45,3.0,16.0,TEN 50,0.0,3.0,Mac Jones pass deep right intended for Brian Thomas is intercepted by Chidobe Awuzie at TEN-29 and returned for 8 yards (tackle by Parker Washington),0.63,-1.4,14.0,2024,200
1.0,3:34,1.0,10.0,TEN 37,0.0,3.0,Tony Pollard right guard for 3 yards (tackle by Foyesade Oluokun and Jarrian Jones),1.4,1.26,14.0,2024,200
1.0,2:55,2.0,7.0,TEN 40,0.0,3.0,"Penalty on Nicholas Petit-Frere: False Start, 5 yards (accepted) (no play)",1.26,0.59,14.0,2024,200
1.0,2:33,2.0,12.0,TEN 35,0.0,3.0,Will Levis pass complete short left to Calvin Ridley for 8 yards (tackle by Tyson Campbell),0.59,0.96,14.0,2024,200
1.0,1:53,3.0,4.0,TEN 43,0.0,3.0,Will Levis pass incomplete short left intended for Calvin Ridley (defended by Tyson Campbell),0.96,-0.52,14.0,2024,200
1.0,1:47,4.0,4.0,TEN 43,0.0,3.0,"Ryan Stonehouse punts 46 yards, fair catch by Devin Duvernay at JAC-11",-0.52,0.37,14.0,2024,200
1.0,1:40,1.0,10.0,JAX 11,0.0,3.0,Mac Jones pass complete short middle to Brenton Strange for 21 yards (tackle by Daryl Worley),-0.37,1.07,14.0,2024,200
1.0,1:07,1.0,10.0,JAX 32,0.0,3.0,Mac Jones pass complete short left to Travis Etienne for 9 yards (tackle by Otis Reese and Luke Gifford),1.07,1.74,14.0,2024,200
1.0,0:26,2.0,1.0,JAX 41,0.0,3.0,Mac Jones pass complete short middle to Parker Washington for 7 yards (tackle by Jarvis Brownlee),1.74,2.13,14.0,2024,200
2.0,15:00,1.0,10.0,JAX 48,0.0,3.0,Tank Bigsby left guard for 4 yards (tackle by Jeffery Simmons and Jarvis Brownlee),2.13,2.12,14.0,2024,200
2.0,14:25,2.0,6.0,TEN 48,0.0,3.0,Devin Duvernay left end for -7 yards (tackle by Otis Reese),2.12,0.5,14.0,2024,200
