Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,14.0,2024,201
1,15:00,,,NYJ 35,0.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,201
1,15:00,1.0,10.0,MIA 30,0.0,0.0,De'Von Achane left tackle for 7 yards (tackle by Jamien Sherwood and D.J. Reed),0.94,1.34,14.0,2024,201
1,14:23,2.0,3.0,MIA 37,0.0,0.0,"Tua Tagovailoa pass complete short middle to Jaylen Waddle for 20 yards (tackle by Jamien Sherwood). Penalty on Javon Kinlaw: Unnecessary Roughness / Defense, 15 yards (accepted)",1.34,3.71,14.0,2024,201
1,13:58,1.0,10.0,NYJ 28,0.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 11 yards (tackle by D.J. Reed),3.71,4.44,14.0,2024,201
1,13:17,1.0,10.0,NYJ 17,0.0,0.0,Tua Tagovailoa pass complete short right to De'Von Achane for 14 yards (tackle by Jamien Sherwood and Chuck Clark),4.44,6.51,14.0,2024,201
1,12:33,1.0,3.0,NYJ 3,0.0,0.0,De'Von Achane left tackle for no gain (tackle by Brandin Echols),6.51,5.53,14.0,2024,201
1,11:51,2.0,3.0,NYJ 3,0.0,0.0,De'Von Achane left guard for 2 yards (tackle by Chuck Clark),5.53,5.17,14.0,2024,201
1,11:14,3.0,1.0,NYJ 1,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill. Penalty on D.J. Reed: Defensive Pass Interference (accepted) (no play),5.17,6.97,14.0,2024,201
1,11:10,1.0,1.0,NYJ 1,0.0,0.0,De'Von Achane up the middle for -1 yards (tackle by Jamien Sherwood and Chuck Clark),6.97,5.72,14.0,2024,201
1,10:29,2.0,2.0,NYJ 2,0.0,6.0,"De'Von Achane left guard for 2 yards, touchdown",5.72,7.0,14.0,2024,201
1,10:24,,,NYJ 15,0.0,6.0,Jason Sanders kicks extra point no good,0.0,-1.0,14.0,2024,201
1,10:24,,,MIA 35,0.0,6.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,201
1,10:24,1.0,10.0,NYJ 30,0.0,6.0,Braelon Allen right tackle for 7 yards (tackle by Kendall Fuller),0.94,1.34,14.0,2024,201
1,9:53,2.0,3.0,NYJ 37,0.0,6.0,Aaron Rodgers pass complete short middle to Tyler Conklin for 11 yards (tackle by Anthony Walker and Jordyn Brooks),1.34,2.13,14.0,2024,201
1,9:11,1.0,10.0,NYJ 48,0.0,6.0,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,2.13,1.58,14.0,2024,201
1,9:07,2.0,10.0,NYJ 48,0.0,6.0,Isaiah Davis up the middle for 2 yards (tackle by Calais Campbell and Zach Sieler),1.58,1.16,14.0,2024,201
1,8:24,3.0,8.0,MIA 50,0.0,6.0,"Aaron Rodgers pass incomplete short left intended for Garrett Wilson. Penalty on Jalen Ramsey: Defensive Pass Interference, 9 yards (accepted) (no play)",1.16,2.85,14.0,2024,201
1,8:19,1.0,10.0,MIA 41,0.0,6.0,Isaiah Davis right tackle for 1 yard (tackle by Jordyn Brooks and Quinton Bell),2.85,2.44,14.0,2024,201
1,7:40,2.0,9.0,MIA 40,0.0,6.0,Aaron Rodgers pass complete short left to Braelon Allen for 10 yards (tackle by Kendall Fuller and Jevon Holland),2.44,3.58,14.0,2024,201
1,6:59,1.0,10.0,MIA 30,0.0,6.0,Aaron Rodgers pass complete short left to Braelon Allen for 12 yards (tackle by Jordan Poyer),3.58,4.37,14.0,2024,201
1,6:16,1.0,10.0,MIA 18,0.0,6.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 8 yards (tackle by Chop Robinson),4.37,5.23,14.0,2024,201
1,5:35,2.0,2.0,MIA 10,0.0,6.0,Aaron Rodgers pass incomplete short right intended for Davante Adams,5.23,4.51,14.0,2024,201
1,5:28,3.0,2.0,MIA 10,0.0,6.0,"Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Chop Robinson). Penalty on Morgan Moses: Offensive Holding, 10 yards (declined)",4.51,2.89,14.0,2024,201
1,5:23,4.0,2.0,MIA 10,3.0,6.0,Anders Carlson 28 yard field goal good,2.89,3.0,14.0,2024,201
1,5:19,,,NYJ 35,3.0,6.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,201
1,5:19,1.0,10.0,MIA 30,3.0,6.0,Jaylen Wright left end for 2 yards (tackle by Jamien Sherwood),0.94,0.66,14.0,2024,201
1,4:40,2.0,8.0,MIA 32,3.0,6.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 13 yards (tackle by Brandin Echols),0.66,1.93,14.0,2024,201
1,4:02,1.0,10.0,MIA 45,3.0,6.0,Jaylen Wright left end for 5 yards (tackle by Jamien Sherwood),1.93,2.06,14.0,2024,201
1,3:25,2.0,5.0,MIA 50,3.0,6.0,Tua Tagovailoa pass complete short left to Jaylen Wright for 6 yards (tackle by D.J. Reed),2.06,2.65,14.0,2024,201
1,2:40,1.0,10.0,NYJ 44,3.0,6.0,Tua Tagovailoa pass complete short left to De'Von Achane for 9 yards (tackle by Chuck Clark),2.65,3.33,14.0,2024,201
1,1:59,2.0,1.0,NYJ 35,3.0,6.0,De'Von Achane up the middle for 5 yards (tackle by Quinnen Williams),3.33,3.58,14.0,2024,201
