Unnamed: 0,NYJ,MIA,week,year,game_id
First Downs,23,28,14.0,2024,201
Rush-Yds-TDs,21-83-1,19-44-1,14.0,2024,201
Cmp-Att-Yd-TD-INT,27-39-339-1-0,33-47-331-2-0,14.0,2024,201
Sacked-Yards,3-20,0-0,14.0,2024,201
Net Pass Yards,319,331,14.0,2024,201
Total Yards,402,375,14.0,2024,201
Fumbles-Lost,0-0,0-0,14.0,2024,201
Turnovers,0,0,14.0,2024,201
Penalties-Yards,10-83,8-49,14.0,2024,201
Third Down Conv.,4-12,1-9,14.0,2024,201
Fourth Down Conv.,2-2,2-2,14.0,2024,201
Time of Possession,31:02,32:53,14.0,2024,201
