Unnamed: 0,JAX,TEN,week,year,game_id
First Downs,16,17,14.0,2024,200
Rush-Yds-TDs,26-71-1,28-126-0,14.0,2024,200
Cmp-Att-Yd-TD-INT,23-31-220-0-2,19-32-168-0-0,14.0,2024,200
Sacked-Yards,1-0,2-22,14.0,2024,200
Net Pass Yards,220,146,14.0,2024,200
Total Yards,291,272,14.0,2024,200
Fumbles-Lost,0-0,1-0,14.0,2024,200
Turnovers,2,0,14.0,2024,200
Penalties-Yards,5-39,4-25,14.0,2024,200
Third Down Conv.,6-13,8-16,14.0,2024,200
Fourth Down Conv.,1-1,0-3,14.0,2024,200
Time of Possession,28:16,31:44,14.0,2024,200
