Unnamed: 0,LVR,TAM,week,year,game_id
First Downs,16,21,14.0,2024,203
Rush-Yds-TDs,25-91-1,26-152-1,14.0,2024,203
Cmp-Att-Yd-TD-INT,23-37-205-0-1,18-29-295-3-2,14.0,2024,203
Sacked-Yards,2-10,4-27,14.0,2024,203
Net Pass Yards,195,268,14.0,2024,203
Total Yards,286,420,14.0,2024,203
Fumbles-Lost,2-1,2-1,14.0,2024,203
Turnovers,2,3,14.0,2024,203
Penalties-Yards,3-31,5-31,14.0,2024,203
Third Down Conv.,4-13,5-12,14.0,2024,203
Fourth Down Conv.,3-3,1-1,14.0,2024,203
Time of Possession,31:30,28:30,14.0,2024,203
