Quarter,Time,Down,ToGo,Location,LVR,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,14.0,2024,203
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 63 yards, returned by Rakim Jarrett for 23 yards (tackle by Kana'i Mauga). Penalty on Ryan Miller: Offensive Holding, 10 yards (accepted)",0.0,-0.22,14.0,2024,203
1.0,14:56,1.0,10.0,TAM 15,0.0,0.0,Baker Mayfield pass complete short right to Jalen McMillan for 6 yards (tackle by Tre'von Moehrig),-0.22,0.21,14.0,2024,203
1.0,14:18,2.0,4.0,TAM 21,0.0,0.0,Rachaad White left guard for 3 yards (tackle by Adam Butler and Darnay Holmes),0.21,-0.27,14.0,2024,203
1.0,13:40,3.0,1.0,TAM 24,0.0,0.0,Rachaad White left guard for 4 yards (tackle by Isaiah Pola-Mao),-0.27,0.81,14.0,2024,203
1.0,13:01,1.0,10.0,TAM 28,0.0,0.0,"Baker Mayfield pass complete short left to Mike Evans for 15 yards (tackle by Decamerion Richardson). Penalty on Maxx Crosby: Defensive Offside, 5 yards (declined)",0.81,1.8,14.0,2024,203
1.0,12:35,1.0,10.0,TAM 43,0.0,0.0,Bucky Irving right tackle for 2 yards (tackle by Jack Jones),1.8,1.52,14.0,2024,203
1.0,11:59,2.0,8.0,TAM 45,0.0,0.0,Baker Mayfield pass complete short left to Sterling Shepard for 9 yards (tackle by Darnay Holmes),1.52,2.52,14.0,2024,203
1.0,11:27,1.0,10.0,LVR 46,0.0,0.0,"Baker Mayfield pass complete short left to Rachaad White for no gain (tackle by John Jenkins). Penalty on Adam Butler: Illegal Use of Hands / Offense, 5 yards (offset) . Penalty on Rakim Jarrett: Illegal Use of Hands / Defense, 5 yards (offset) (no play)",2.52,2.52,14.0,2024,203
1.0,11:09,1.0,10.0,LVR 46,0.0,0.0,Baker Mayfield pass incomplete short right intended for Rachaad White (defended by Tre'von Moehrig),2.52,1.98,14.0,2024,203
1.0,11:01,2.0,10.0,LVR 46,0.0,0.0,Bucky Irving left guard for 2 yards (tackle by Adam Butler and Maxx Crosby),1.98,1.55,14.0,2024,203
1.0,10:21,3.0,8.0,LVR 44,0.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 7 yards (tackle by Thomas Harper),1.55,0.79,14.0,2024,203
1.0,9:39,4.0,1.0,LVR 37,0.0,0.0,Rachaad White up the middle for 7 yards (tackle by Decamerion Richardson and Darnay Holmes),0.79,3.58,14.0,2024,203
1.0,8:58,1.0,10.0,LVR 30,0.0,0.0,Baker Mayfield pass complete short left to Bucky Irving for 15 yards (tackle by Robert Spillane and Tre'von Moehrig),3.58,4.58,14.0,2024,203
1.0,8:12,1.0,10.0,LVR 15,0.0,6.0,"Baker Mayfield pass complete short right to Jalen McMillan for 15 yards, touchdown",4.58,7.0,14.0,2024,203
1.0,8:07,,,LVR 15,0.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,14.0,2024,203
1.0,8:07,,,TAM 35,0.0,7.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.28,14.0,2024,203
1.0,8:07,1.0,10.0,LVR 20,0.0,7.0,Aidan O'Connell pass incomplete deep middle intended for Tre Tucker,0.28,-0.27,14.0,2024,203
1.0,8:01,2.0,10.0,LVR 20,0.0,7.0,Sincere McCormick up the middle for no gain (tackle by Logan Hall),-0.27,-0.96,14.0,2024,203
1.0,7:25,3.0,10.0,LVR 20,0.0,7.0,Aidan O'Connell sacked by Lavonte David for -10 yards,-0.96,-2.49,14.0,2024,203
1.0,6:44,4.0,20.0,LVR 10,0.0,7.0,AJ Cole punts 42 yards out of bounds,-2.49,-2.13,14.0,2024,203
1.0,6:37,1.0,10.0,TAM 48,0.0,7.0,Bucky Irving up the middle for 2 yards (tackle by Isaiah Pola-Mao and Tyree Wilson),2.13,1.85,14.0,2024,203
1.0,5:56,2.0,8.0,TAM 50,0.0,7.0,Baker Mayfield pass complete short right to Cade Otton for 20 yards (tackle by Tre'von Moehrig),1.85,3.58,14.0,2024,203
1.0,5:18,1.0,10.0,LVR 30,0.0,7.0,Rachaad White right guard for 13 yards (tackle by Tre'von Moehrig),3.58,4.44,14.0,2024,203
1.0,4:40,1.0,10.0,LVR 17,0.0,7.0,Rachaad White up the middle for 12 yards (tackle by Darnay Holmes and Isaiah Pola-Mao),4.44,6.06,14.0,2024,203
1.0,3:58,1.0,5.0,LVR 5,0.0,13.0,"Baker Mayfield pass complete short middle to Rachaad White for 5 yards, touchdown",6.06,7.0,14.0,2024,203
1.0,3:52,,,LVR 15,0.0,14.0,Chase McLaughlin kicks extra point good,0.0,0.0,14.0,2024,203
1.0,3:52,,,TAM 35,0.0,14.0,"Jack Browning kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,203
1.0,3:52,1.0,10.0,LVR 30,0.0,14.0,Aidan O'Connell pass incomplete deep middle intended for Michael Mayer (defended by Anthony Nelson),0.94,0.39,14.0,2024,203
1.0,3:48,2.0,10.0,LVR 30,0.0,14.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 11 yards (tackle by Zyon McCollum),0.39,1.66,14.0,2024,203
1.0,3:16,1.0,10.0,LVR 41,0.0,14.0,Sincere McCormick left tackle for 4 yards (tackle by YaYa Diaby),1.66,1.66,14.0,2024,203
