Unnamed: 0,BUF,LAR,week,year,game_id
First Downs,25,28,14.0,2024,205
Rush-Yds-TDs,17-103-3,42-137-3,14.0,2024,205
Cmp-Att-Yd-TD-INT,22-37-342-3-0,23-30-320-2-0,14.0,2024,205
Sacked-Yards,0-0,0-0,14.0,2024,205
Net Pass Yards,342,320,14.0,2024,205
Total Yards,445,457,14.0,2024,205
Fumbles-Lost,0-0,0-0,14.0,2024,205
Turnovers,0,0,14.0,2024,205
Penalties-Yards,7-59,9-99,14.0,2024,205
Third Down Conv.,5-9,11-15,14.0,2024,205
Fourth Down Conv.,0-0,1-1,14.0,2024,205
Time of Possession,21:30,38:30,14.0,2024,205
