Unnamed: 0,LAC,KAN,week,year,game_id
First Downs,20,20,14.0,2024,207
Rush-Yds-TDs,24-94-1,25-96-0,14.0,2024,207
Cmp-Att-Yd-TD-INT,21-30-213-1-0,24-37-210-1-0,14.0,2024,207
Sacked-Yards,3-19,3-8,14.0,2024,207
Net Pass Yards,194,202,14.0,2024,207
Total Yards,288,298,14.0,2024,207
Fumbles-Lost,1-0,0-0,14.0,2024,207
Turnovers,0,0,14.0,2024,207
Penalties-Yards,7-50,8-98,14.0,2024,207
Third Down Conv.,6-13,8-15,14.0,2024,207
Fourth Down Conv.,1-1,0-0,14.0,2024,207
Time of Possession,30:53,29:07,14.0,2024,207
