Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 23_level_0,Unnamed: 24_level_0,Player_URL
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,
1,Nick Allegretti,28,WAS,LG,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,,
2,Josh Allen,28,BUF,QB,17,17,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-1,AP OPoY-6",
3,Budda Baker,28,ARI,FS,17,17,0,0,0,0,5,1,0,0,0,0,2.0,164,95,69,10,3,0,"PB,AP-2",
4,Jessie Bates III,27,ATL,SS,17,17,4,55,1,55,10,4,0,1,0,0,1.0,102,62,40,2,1,0,,
5,Matthew Bergeron,24,ATL,LG,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
6,Joel Bitonio,33,CLE,LG,17,17,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,PB,
7,Bradley Bozeman,30,LAC,C,17,17,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,0,0,0,,
8,Jake Brendel,32,SFO,C,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,
9,Aaron Brewer,27,MIA,C,17,17,0,0,0,0,0,0,1,1,-22,0,0.0,0,0,0,0,0,0,,
10,Jordyn Brooks,27,MIA,RILB,17,17,0,0,0,0,6,0,0,2,23,0,3.0,143,86,57,11,6,0,,
11,Jonathan Bullard,31,MIN,RDE,17,17,0,0,0,0,3,0,0,0,0,0,1.0,41,21,20,7,3,0,,
12,Brian Burns,26,NYG,LOLB,17,17,0,0,0,0,8,2,0,0,0,0,8.5,71,42,29,17,18,0,,
13,Joe Burrow,28,CIN,QB,17,17,0,0,0,0,0,0,11,2,-3,0,0.0,0,0,0,0,0,0,"PB,AP MVP-4,AP OPoY-5,AP CPoY-1",
14,Kevin Byard,31,CHI,SS,17,17,1,0,0,0,7,1,0,2,0,0,2.0,130,80,50,5,2,0,,
15,Camryn Bynum,26,MIN,FS,17,17,3,3,0,3,10,0,0,2,0,0,0.0,96,54,42,2,0,0,,
16,Calais Campbell,38,MIA,NT,17,17,0,0,0,0,5,1,0,0,0,0,5.0,52,35,17,12,12,0,,
17,Jack Campbell,24,DET,MLB,17,17,0,0,0,0,5,1,0,0,0,0,1.5,131,69,62,5,5,0,,
18,Jeremy Chinn,26,WAS,FS,17,17,1,0,0,0,5,1,0,2,0,0,2.0,117,73,44,7,3,0,,
19,Kenny Clark,29,GNB,RDT,17,17,0,0,0,0,2,0,0,2,0,0,1.0,37,20,17,4,5,0,,
20,Micheal Clemons,27,NYJ,LOLB,17,17,0,0,0,0,0,1,0,0,0,0,4.5,34,18,16,4,8,0,,
21,Maliek Collins,29,SFO,LDT,17,17,0,0,0,0,0,0,0,2,0,0,5.0,33,20,13,5,12,0,,
22,Zaven Collins,25,ARI,LOLB,17,17,0,0,0,0,1,2,0,0,0,0,5.0,57,33,24,7,7,0,,
23,Bryan Cook,25,KAN,FS,17,17,2,0,0,0,5,0,0,0,0,0,0.0,78,55,23,1,0,0,,
24,Jonathon Cooper,26,DEN,LOLB,17,17,0,0,0,0,1,1,0,0,0,0,10.5,58,33,25,11,20,0,,
25,Nick Cross,23,IND,SS,17,17,3,25,0,20,5,1,0,0,0,0,1.0,146,87,59,6,1,0,,
26,Jayden Daniels,24,WAS,QB,17,17,0,0,0,0,0,0,5,0,-11,0,0.0,0,0,0,0,0,0,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1",
27,Sam Darnold,27,MIN,QB,17,17,0,0,0,0,0,0,8,2,-27,0,0.0,0,0,0,0,0,0,"PB,AP MVP-10,AP CPoY-3",
28,Lavonte David,34,TAM,LILB,17,17,1,7,0,7,6,3,0,1,0,0,5.5,122,76,46,9,6,0,,
29,Jordan Davis,24,PHI,RDT,17,17,0,0,0,0,2,0,0,1,0,0,1.0,27,15,12,3,1,0,,
30,YaYa Diaby,25,TAM,OLB,17,17,0,0,0,0,0,1,0,1,0,0,4.5,54,39,15,13,20,0,,
31,Tremaine Edmunds,26,CHI,MLB,17,17,1,0,0,0,8,1,0,0,0,0,1.0,110,60,50,3,3,0,,
32,T.J. Edwards,28,CHI,LLB,17,17,1,0,0,0,3,1,0,2,0,0,4.0,129,79,50,12,6,0,,
33,Kaden Elliss,29,ATL,RILB,17,17,1,12,0,12,3,1,0,1,0,0,5.0,151,85,66,8,16,0,,
34,Zach Ertz,34,WAS,TE,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,AP CPoY-17,
35,Minkah Fitzpatrick,28,PIT,SS,17,17,1,25,0,25,4,1,0,0,0,0,0.0,96,62,34,1,0,0,PB,
36,Leonard Floyd,32,SFO,RDE,17,17,0,0,0,0,1,1,0,0,0,0,8.5,42,25,17,8,16,0,,
37,Poona Ford,29,LAC,RDT,17,17,1,3,0,3,5,0,0,0,0,0,3.0,39,24,15,8,9,0,,
38,Zaire Franklin,28,IND,LLB,17,17,2,4,0,4,6,5,0,0,0,0,3.5,173,93,80,11,4,0,"PB,AP-2,AP DPoY-17",
39,Hjalte Froholdt,28,ARI,C,17,17,0,0,0,0,0,0,1,1,-5,0,0.0,0,0,0,0,0,0,,
40,Taliese Fuaga,22,NOR,LT,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,
41,Myles Garrett,29,CLE,RDE,17,17,0,0,0,0,1,3,0,1,0,0,14.0,47,40,7,22,28,0,"PB,AP-1,AP DPoY-3",
