Unnamed: 0,CLE,WAS,week,year,game_id
First Downs,12,19,5.0,2024,70
Rush-Yds-TDs,23-104-0,34-215-3,5.0,2024,70
Cmp-Att-Yd-TD-INT,16-29-141-1-0,15-28-236-1-1,5.0,2024,70
Sacked-Yards,7-33,3-17,5.0,2024,70
Net Pass Yards,108,219,5.0,2024,70
Total Yards,212,434,5.0,2024,70
Fumbles-Lost,1-1,2-1,5.0,2024,70
Turnovers,1,2,5.0,2024,70
Penalties-Yards,9-52,5-31,5.0,2024,70
Third Down Conv.,1-13,8-17,5.0,2024,70
Fourth Down Conv.,2-3,2-2,5.0,2024,70
Time of Possession,28:42,31:18,5.0,2024,70
