Quarter,Time,Down,ToGo,Location,LVR,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Raiders to receive the opening kickoff.",,,5.0,2024,74
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,74
1.0,15:00,1.0,10.0,LVR 30,0.0,0.0,Gardner Minshew pass complete short left to Brock Bowers for 3 yards (tackle by Cody Barton),0.94,0.8,5.0,2024,74
1.0,14:24,2.0,7.0,LVR 33,0.0,0.0,Alexander Mattison left guard for -1 yards (tackle by D.J. Jones and John Franklin-Myers),0.8,-0.03,5.0,2024,74
1.0,13:47,3.0,8.0,LVR 32,0.0,0.0,Gardner Minshew scrambles left end for 11 yards (tackle by Ja'Quan McMillian),-0.03,1.8,5.0,2024,74
1.0,13:08,1.0,10.0,LVR 43,6.0,0.0,"Gardner Minshew pass complete deep left to Brock Bowers for 57 yards, touchdown",1.8,7.0,5.0,2024,74
1.0,12:57,,,DEN 15,7.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,5.0,2024,74
1.0,12:57,,,LVR 35,7.0,0.0,"Daniel Carlson kicks off 63 yards, returned by Tremon Smith for 23 yards (tackle by Amari Gainer)",0.0,0.61,5.0,2024,74
1.0,12:53,1.0,10.0,DEN 25,7.0,0.0,Bo Nix pass complete short left to Michael Burton for 5 yards (tackle by Tre'von Moehrig),0.61,0.74,5.0,2024,74
1.0,12:24,2.0,5.0,DEN 30,7.0,0.0,Javonte Williams right guard for 4 yards (tackle by Christian Wilkins and Tre'von Moehrig),0.74,0.56,5.0,2024,74
1.0,11:50,3.0,1.0,DEN 34,7.0,0.0,Bo Nix left guard for no gain (tackle by Adam Butler),0.56,-1.11,5.0,2024,74
1.0,11:02,,,,,,Timeout #1 by Denver Broncos,,,5.0,2024,74
1.0,11:02,4.0,1.0,DEN 34,7.0,0.0,Javonte Williams left tackle for 8 yards (tackle by Tre'von Moehrig and Tommy Eichenberg),-1.11,1.73,5.0,2024,74
1.0,10:27,1.0,10.0,DEN 42,7.0,0.0,Jaleel McLaughlin right end for 5 yards (tackle by Christian Wilkins),1.73,1.86,5.0,2024,74
1.0,9:48,2.0,5.0,DEN 47,7.0,0.0,Bo Nix pass incomplete short left intended for Javonte Williams,1.86,1.16,5.0,2024,74
1.0,9:43,3.0,5.0,DEN 47,7.0,0.0,Bo Nix pass incomplete short middle intended for Courtland Sutton (defended by Jack Jones),1.16,-0.26,5.0,2024,74
1.0,9:40,4.0,5.0,DEN 47,7.0,0.0,"Riley Dixon punts 43 yards, fair catch by Alex Bachman at LV-10",-0.26,0.38,5.0,2024,74
1.0,9:39,1.0,10.0,LVR 10,7.0,0.0,Gardner Minshew pass complete short right to Brock Bowers for 1 yard (tackle by Cody Barton),-0.38,-0.71,5.0,2024,74
1.0,8:52,2.0,9.0,LVR 11,7.0,0.0,Alexander Mattison left tackle for no gain (tackle by Zach Allen and D.J. Jones),-0.71,-1.3,5.0,2024,74
1.0,8:10,3.0,9.0,LVR 11,7.0,0.0,"Gardner Minshew scrambles left end for 11 yards (tackle by Cody Barton). Penalty on Justin Strnad: Defensive Holding, 5 yards (accepted)",-1.3,0.74,5.0,2024,74
1.0,7:44,1.0,10.0,LVR 27,7.0,0.0,Tre Tucker right end for 7 yards (tackle by Riley Moss),0.74,1.14,5.0,2024,74
1.0,7:07,2.0,3.0,LVR 34,7.0,0.0,Gardner Minshew pass complete deep middle to Jakobi Meyers for 18 yards (tackle by Patrick Surtain),1.14,2.39,5.0,2024,74
1.0,6:27,1.0,10.0,DEN 48,7.0,0.0,Ameer Abdullah right guard for 1 yard (tackle by Zach Allen),2.39,1.98,5.0,2024,74
1.0,5:48,2.0,9.0,DEN 47,7.0,0.0,Alexander Mattison up the middle for 7 yards (tackle by P.J. Locke and Brandon Jones),1.98,2.21,5.0,2024,74
1.0,5:06,3.0,2.0,DEN 40,7.0,0.0,Alexander Mattison up the middle for 6 yards (tackle by P.J. Locke),2.21,3.31,5.0,2024,74
1.0,4:28,1.0,10.0,DEN 34,7.0,0.0,Gardner Minshew pass complete short right to Alexander Mattison for 12 yards (tackle by Cody Barton),3.31,4.11,5.0,2024,74
1.0,3:52,1.0,10.0,DEN 22,7.0,0.0,Alexander Mattison up the middle for no gain (tackle by D.J. Jones and Jordan Jackson),4.11,3.56,5.0,2024,74
1.0,3:09,2.0,10.0,DEN 22,7.0,0.0,"Penalty on Delmar Glaze: False Start, 5 yards (accepted) (no play)",3.56,2.89,5.0,2024,74
1.0,2:51,2.0,15.0,DEN 27,7.0,0.0,Gardner Minshew pass complete short right to Ameer Abdullah for -1 yards (tackle by Jonathon Cooper and John Franklin-Myers),2.89,2.08,5.0,2024,74
1.0,2:08,3.0,16.0,DEN 28,7.0,0.0,Gardner Minshew pass complete short right to Tre Tucker for 6 yards (tackle by Patrick Surtain),2.08,1.99,5.0,2024,74
1.0,1:30,4.0,10.0,DEN 22,10.0,0.0,Daniel Carlson 40 yard field goal good,1.99,3.0,5.0,2024,74
1.0,1:27,,,LVR 35,10.0,0.0,"Daniel Carlson kicks off 62 yards, returned by Tremon Smith for 38 yards (tackle by Thomas Harper)",0.0,1.66,5.0,2024,74
1.0,1:20,1.0,10.0,DEN 41,10.0,0.0,Javonte Williams up the middle for -1 yards (tackle by Christian Wilkins),1.66,0.99,5.0,2024,74
1.0,0:46,2.0,11.0,DEN 40,10.0,0.0,Marvin Mims left end for 17 yards (tackle by Nate Hobbs),0.99,2.72,5.0,2024,74
