Quarter,Time,Down,ToGo,Location,NYJ,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Jets to receive the opening kickoff.",,,5.0,2024,66
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 62 yards, returned by Isaiah Davis for 23 yards (tackle by Ivan Pace and Blake Cashman)",0.0,0.67,5.0,2024,66
1.0,14:54,1.0,10.0,NYJ 26,0.0,0.0,Breece Hall right guard for 1 yard (tackle by Jerry Tillery),0.67,0.27,5.0,2024,66
1.0,14:20,2.0,9.0,NYJ 27,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,0.27,-0.43,5.0,2024,66
1.0,14:15,3.0,9.0,NYJ 27,0.0,0.0,Aaron Rodgers pass complete short left to Garrett Wilson for 8 yards (tackle by Shaquill Griffin),-0.43,-1.04,5.0,2024,66
1.0,13:34,4.0,1.0,NYJ 35,0.0,0.0,"Thomas Morstead punts 53 yards, fair catch by Brandon Powell at MIN-12",-1.04,0.35,5.0,2024,66
1.0,13:27,1.0,10.0,MIN 12,0.0,0.0,"Sam Darnold pass complete short right to Justin Jefferson for -1 yards. Justin Jefferson fumbles, ball out of bounds at MIN-11. Justin Jefferson fumbles out of bounds",-0.35,-0.85,5.0,2024,66
1.0,12:54,2.0,11.0,MIN 11,0.0,0.0,Aaron Jones left end for 9 yards (tackle by D.J. Reed and Chuck Clark),-0.85,-0.48,5.0,2024,66
1.0,12:17,3.0,2.0,MIN 20,0.0,0.0,Sam Darnold pass complete short left to Johnny Mundt for 11 yards (tackle by Quincy Williams),-0.48,1.0,5.0,2024,66
1.0,11:36,1.0,10.0,MIN 31,0.0,0.0,Sam Darnold pass complete deep middle to Justin Jefferson for 26 yards (tackle by Tony Adams),1.0,2.72,5.0,2024,66
1.0,10:53,1.0,10.0,NYJ 43,0.0,0.0,Aaron Jones up the middle for 3 yards (tackle by Chuck Clark),2.72,2.58,5.0,2024,66
