Unnamed: 0,BUF,HOU,week,year,game_id
First Downs,16,18,5.0,2024,67
Rush-Yds-TDs,28-150-1,28-94-1,5.0,2024,67
Cmp-Att-Yd-TD-INT,9-30-131-1-0,28-38-331-1-1,5.0,2024,67
Sacked-Yards,1-5,1-0,5.0,2024,67
Net Pass Yards,126,331,5.0,2024,67
Total Yards,276,425,5.0,2024,67
Fumbles-Lost,0-0,1-1,5.0,2024,67
Turnovers,0,2,5.0,2024,67
Penalties-Yards,4-25,7-65,5.0,2024,67
Third Down Conv.,3-14,8-16,5.0,2024,67
Fourth Down Conv.,1-1,0-1,5.0,2024,67
Time of Possession,26:50,33:10,5.0,2024,67
