Unnamed: 0,NOR,KAN,week,year,game_id
First Downs,14,28,5.0,2024,78
Rush-Yds-TDs,15-46-0,39-139-2,5.0,2024,78
Cmp-Att-Yd-TD-INT,20-35-182-2-1,28-39-331-0-1,5.0,2024,78
Sacked-Yards,1-8,2-10,5.0,2024,78
Net Pass Yards,174,321,5.0,2024,78
Total Yards,220,460,5.0,2024,78
Fumbles-Lost,0-0,1-0,5.0,2024,78
Turnovers,1,1,5.0,2024,78
Penalties-Yards,5-70,6-55,5.0,2024,78
Third Down Conv.,4-10,6-14,5.0,2024,78
Fourth Down Conv.,0-2,1-1,5.0,2024,78
Time of Possession,20:04,39:56,5.0,2024,78
