#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,GNB 30,3,1:43,-5,Punt,0,Packers,5.0,2024,75
2,1,11:50,GNB 4,9,5:05,96,Touchdown,0,Packers,5.0,2024,75
3,1,3:24,GNB 5,3,1:27,3,Punt,0,Packers,5.0,2024,75
4,2,9:47,GNB 30,3,1:21,1,Punt,0,Packers,5.0,2024,75
5,2,3:06,GNB 10,3,1:04,-2,Interception,0,Packers,5.0,2024,75
6,2,2:02,GNB 30,9,2:02,42,Field Goal,0,Packers,5.0,2024,75
7,3,11:58,GNB 30,2,0:43,70,Touchdown,0,Packers,5.0,2024,75
8,3,8:01,GNB 46,7,4:06,54,Touchdown,0,Packers,5.0,2024,75
9,4,14:15,GNB 7,14,8:13,43,Punt,0,Packers,5.0,2024,75
10,4,3:30,GNB 30,4,0:33,13,Punt,0,Packers,5.0,2024,75
11,4,1:02,GNB 38,2,1:02,-2,End of Game,0,Packers,5.0,2024,75
