Quarter,Time,Down,ToGo,Location,NOR,KAN,Detail,EPB,EPA,week,year,game_id
2.0,8:43,2.0,9.0,KAN 43,6.0,10.0,"Derek Carr pass complete deep middle to Rashid Shaheed for 43 yards, touchdown",2.25,7.0,5.0,2024,78
2.0,8:36,,,KAN 15,7.0,10.0,Blake Grupe kicks extra point good,0.0,0.0,5.0,2024,78
2.0,8:36,,,NOR 35,7.0,10.0,"Blake Grupe kicks off 61 yards, returned by Skyy Moore for 15 yards (tackle by Isaiah Stalbird and Cedrick Wilson)",0.0,0.28,5.0,2024,78
2.0,8:30,1.0,10.0,KAN 20,7.0,10.0,Kareem Hunt left end for 4 yards (tackle by D'Marco Jackson and Demario Davis),0.28,0.27,5.0,2024,78
2.0,8:13,2.0,6.0,KAN 24,7.0,10.0,Patrick Mahomes pass incomplete short right,0.27,-0.43,5.0,2024,78
2.0,8:05,3.0,6.0,KAN 24,7.0,10.0,Patrick Mahomes scrambles left end for 7 yards (tackle by Chase Young),-0.43,1.0,5.0,2024,78
2.0,7:29,1.0,10.0,KAN 31,7.0,10.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 8 yards (tackle by Tyrann Mathieu and Demario Davis),1.0,1.54,5.0,2024,78
2.0,6:50,2.0,2.0,KAN 39,7.0,10.0,Patrick Mahomes pass complete short right to Xavier Worthy for 18 yards (tackle by Tyrann Mathieu),1.54,2.72,5.0,2024,78
2.0,6:28,1.0,10.0,NOR 43,7.0,10.0,Kareem Hunt right guard for 3 yards (tackle by Carl Granderson and Khalen Saunders),2.72,2.58,5.0,2024,78
2.0,5:49,2.0,7.0,NOR 40,7.0,10.0,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Anfernee Orji),2.58,3.45,5.0,2024,78
2.0,5:13,1.0,10.0,NOR 32,7.0,10.0,"Carson Steele right end for -9 yards. Carson Steele fumbles (forced by Alontae Taylor), recovered by Xavier Worthy at NO-46 (tackle by Alontae Taylor)",3.45,1.01,5.0,2024,78
2.0,4:36,2.0,24.0,NOR 46,7.0,10.0,"Patrick Mahomes scrambles up the middle for no gain (tackle by Alontae Taylor). Penalty on Trey Smith: Offensive Holding, 10 yards (accepted) (no play)",1.01,-0.34,5.0,2024,78
2.0,4:09,2.0,34.0,KAN 44,7.0,10.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 13 yards (tackle by Johnathan Abram),-0.34,0.76,5.0,2024,78
2.0,3:27,3.0,21.0,NOR 43,7.0,10.0,"Patrick Mahomes pass complete short right to Travis Kelce for 5 yards, lateral to Samaje Perine for 15 yards (tackle by Marshon Lattimore)",0.76,2.08,5.0,2024,78
2.0,2:55,,,,,,Timeout #1 by New Orleans Saints,,,5.0,2024,78
2.0,2:55,4.0,1.0,NOR 23,7.0,10.0,Kareem Hunt right guard for 2 yards (tackle by Johnathan Abram),2.08,4.17,5.0,2024,78
2.0,2:17,1.0,10.0,NOR 21,7.0,10.0,Kareem Hunt right guard for 2 yards (tackle by Carl Granderson and Tyrann Mathieu),4.17,3.9,5.0,2024,78
2.0,2:00,2.0,8.0,NOR 19,7.0,10.0,Patrick Mahomes sacked by Chase Young for -6 yards,3.9,2.41,5.0,2024,78
2.0,1:44,,,,,,Timeout #2 by New Orleans Saints,,,5.0,2024,78
