Quarter,Time,Down,ToGo,Location,NOR,KAN,Detail,EPB,EPA,week,year,game_id
4.0,2:38,1.0,10.0,NOR 31,13.0,26.0,Jake Haener pass incomplete deep right intended for Chris Olave (defended by Bryan Cook),1.0,0.46,5.0,2024,78
4.0,2:31,2.0,10.0,NOR 31,13.0,26.0,Jake Haener scrambles right end for 9 yards (tackle by Nick Bolton),0.46,0.96,5.0,2024,78
4.0,2:25,3.0,1.0,NOR 40,13.0,26.0,Jake Haener pass complete short middle to Alvin Kamara for 6 yards (tackle by Chamarri Conner),0.96,1.99,5.0,2024,78
4.0,2:07,1.0,10.0,NOR 46,13.0,26.0,Jake Haener pass incomplete short middle,1.99,1.45,5.0,2024,78
4.0,2:03,2.0,10.0,NOR 46,13.0,26.0,Jake Haener scrambles right end for 2 yards (tackle by Drue Tranquill),1.45,1.03,5.0,2024,78
4.0,1:57,3.0,8.0,NOR 48,13.0,26.0,Jake Haener pass incomplete short left intended for Alvin Kamara,1.03,-0.19,5.0,2024,78
4.0,1:51,4.0,8.0,NOR 48,13.0,26.0,Jake Haener pass incomplete deep right intended for Chris Olave (defended by Jaylen Watson),-0.19,-2.39,5.0,2024,78
4.0,1:47,1.0,10.0,NOR 48,13.0,26.0,Patrick Mahomes kneels for -1 yards,2.39,1.71,5.0,2024,78
4.0,1:11,2.0,11.0,NOR 49,13.0,26.0,Patrick Mahomes kneels for -1 yards,1.71,0.89,5.0,2024,78
4.0,0:35,3.0,12.0,NOR 50,13.0,26.0,Patrick Mahomes kneels for -1 yards,0.89,-0.13,5.0,2024,78
