Unnamed: 0,ARI,SFO,week,year,game_id
First Downs,19,22,5.0,2024,73
Rush-Yds-TDs,26-169-1,26-153-0,5.0,2024,73
Cmp-Att-Yd-TD-INT,19-30-195-1-1,19-35-244-1-2,5.0,2024,73
Sacked-Yards,1-6,2-13,5.0,2024,73
Net Pass Yards,189,231,5.0,2024,73
Total Yards,358,384,5.0,2024,73
Fumbles-Lost,1-0,1-1,5.0,2024,73
Turnovers,1,3,5.0,2024,73
Penalties-Yards,1-5,4-21,5.0,2024,73
Third Down Conv.,3-10,6-11,5.0,2024,73
Fourth Down Conv.,1-1,0-1,5.0,2024,73
Time of Possession,27:02,32:58,5.0,2024,73
