Quarter,Time,Down,ToGo,Location,GNB,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Packers to receive the opening kickoff.",,,5.0,2024,75
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,75
1.0,15:00,1.0,10.0,GNB 30,0.0,0.0,Jordan Love pass incomplete deep left intended for Dontayvion Wicks,0.94,0.39,5.0,2024,75
1.0,14:54,2.0,10.0,GNB 30,0.0,0.0,Josh Jacobs right guard for 3 yards (tackle by Braden Fiske and Christian Rozeboom),0.39,0.1,5.0,2024,75
1.0,14:10,3.0,7.0,GNB 33,0.0,0.0,Jordan Love sacked by Kobie Turner for -8 yards,0.1,-1.7,5.0,2024,75
1.0,13:27,4.0,15.0,GNB 25,0.0,0.0,"Daniel Whelan punts 41 yards, returned by Xavier Smith for no gain (tackle by Corey Ballentine)",-1.7,-1.2,5.0,2024,75
1.0,13:17,1.0,10.0,LAR 34,0.0,0.0,Kyren Williams up the middle for 1 yard (tackle by Javon Bullard),1.2,0.79,5.0,2024,75
1.0,12:42,2.0,9.0,LAR 35,0.0,0.0,Matthew Stafford pass complete short left to Colby Parkinson for 6 yards (tackle by Javon Bullard),0.79,0.89,5.0,2024,75
1.0,12:07,3.0,3.0,LAR 41,0.0,0.0,Matthew Stafford pass incomplete deep left intended for Tutu Atwell (defended by Xavier McKinney),0.89,-0.65,5.0,2024,75
1.0,12:02,4.0,3.0,LAR 41,0.0,0.0,"Ethan Evans punts 51 yards downed by Hunter Long. Penalty on Robert Rochell: Offensive Holding, 4 yards (accepted)",-0.65,0.38,5.0,2024,75
1.0,11:50,1.0,10.0,GNB 4,0.0,0.0,Jordan Love pass complete short right to Malik Heath for 7 yards (tackle by Cobie Durant),-0.38,-0.27,5.0,2024,75
1.0,11:13,2.0,3.0,GNB 11,0.0,0.0,Josh Jacobs up the middle for 4 yards (tackle by Jared Verse),-0.27,-0.22,5.0,2024,75
1.0,10:37,1.0,10.0,GNB 15,0.0,0.0,Jordan Love pass complete short right to Jayden Reed for 4 yards (tackle by Kamren Curl),-0.22,-0.11,5.0,2024,75
1.0,9:54,2.0,6.0,GNB 19,0.0,0.0,Josh Jacobs up the middle for 7 yards (tackle by Kamren Curl and Christian Rozeboom),-0.11,0.67,5.0,2024,75
1.0,9:10,1.0,10.0,GNB 26,0.0,0.0,Jayden Reed left end for 8 yards (tackle by Quentin Lake),0.67,1.21,5.0,2024,75
1.0,8:26,2.0,2.0,GNB 34,0.0,0.0,Josh Jacobs up the middle for 11 yards (tackle by Quentin Lake),1.21,1.93,5.0,2024,75
1.0,7:46,1.0,10.0,GNB 45,0.0,0.0,Jordan Love pass incomplete short right intended for Tucker Kraft,1.93,1.38,5.0,2024,75
1.0,7:41,2.0,10.0,GNB 45,0.0,0.0,Jordan Love pass complete deep left to Jayden Reed for 53 yards (tackle by Quentin Lake),1.38,6.74,5.0,2024,75
1.0,6:52,1.0,2.0,LAR 2,6.0,0.0,"Josh Jacobs right end for 2 yards, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.74,7.0,5.0,2024,75
1.0,6:45,,,LAR 15,7.0,0.0,Brayden Narveson kicks extra point good,0.0,0.0,5.0,2024,75
1.0,6:45,,,GNB 35,7.0,0.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,75
1.0,6:45,1.0,10.0,LAR 30,7.0,0.0,Matthew Stafford pass complete short right to Tutu Atwell for 8 yards (tackle by Javon Bullard),0.94,1.47,5.0,2024,75
1.0,6:13,2.0,2.0,LAR 38,7.0,0.0,Matthew Stafford pass complete deep left to Tutu Atwell for 24 yards (tackle by Evan Williams),1.47,3.05,5.0,2024,75
1.0,5:33,1.0,10.0,GNB 38,7.0,0.0,Kyren Williams right end for 30 yards (tackle by Edgerrin Cooper),3.05,5.37,5.0,2024,75
1.0,4:52,1.0,8.0,GNB 8,7.0,0.0,Kyren Williams right tackle for 2 yards (tackle by Rashan Gary and Edgerrin Cooper),5.37,4.95,5.0,2024,75
1.0,4:14,2.0,6.0,GNB 6,7.0,0.0,Kyren Williams up the middle for 2 yards (tackle by Isaiah McDuffie),4.95,4.49,5.0,2024,75
1.0,3:33,3.0,4.0,GNB 4,7.0,0.0,Matthew Stafford pass incomplete short middle intended for Colby Parkinson,4.49,3.03,5.0,2024,75
1.0,3:28,4.0,4.0,GNB 4,7.0,0.0,Matthew Stafford pass incomplete short middle intended for Colby Parkinson,3.03,0.38,5.0,2024,75
1.0,3:24,1.0,10.0,GNB 5,7.0,0.0,Emanuel Wilson left tackle for 7 yards (tackle by Christian Rozeboom),-0.38,-0.27,5.0,2024,75
1.0,2:51,2.0,3.0,GNB 12,7.0,0.0,Emanuel Wilson right end for 1 yard (tackle by Christian Rozeboom),-0.27,-0.48,5.0,2024,75
1.0,2:10,3.0,2.0,GNB 13,7.0,0.0,Jordan Love pass incomplete deep middle intended for Jayden Reed,-0.48,-2.49,5.0,2024,75
1.0,2:04,4.0,2.0,GNB 13,7.0,0.0,"Penalty on Daniel Whelan: Delay of Game, 5 yards (accepted) (no play)",-2.49,-2.49,5.0,2024,75
1.0,2:04,4.0,7.0,GNB 8,7.0,0.0,"Daniel Whelan punts 37 yards, fair catch by Xavier Smith at LA-20. Penalty on Josh Wallace: Offensive Holding, 10 yards (accepted)",-2.49,-1.93,5.0,2024,75
1.0,1:57,1.0,10.0,LAR 45,7.0,0.0,Blake Corum right tackle for 12 yards (tackle by Xavier McKinney and Evan Williams),1.93,2.72,5.0,2024,75
1.0,1:19,1.0,10.0,GNB 43,7.0,0.0,"Penalty on Hunter Long: False Start, 5 yards (accepted) (no play)",2.72,2.39,5.0,2024,75
1.0,1:19,1.0,15.0,GNB 48,7.0,0.0,Matthew Stafford pass complete short left to Tutu Atwell for 4 yards (tackle by Quay Walker),2.39,2.04,5.0,2024,75
