Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, 49ers to receive the opening kickoff.",,,5.0,2024,73
1.0,15:00,,,ARI 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,73
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Brock Purdy pass incomplete deep right intended for Deebo Samuel,0.94,0.39,5.0,2024,73
1.0,14:56,2.0,10.0,SFO 30,0.0,0.0,Brock Purdy scrambles left end for 2 yards (tackle by Bilal Nichols),0.39,-0.03,5.0,2024,73
1.0,14:18,3.0,8.0,SFO 32,0.0,0.0,Brock Purdy pass incomplete deep right intended for Brandon Aiyuk,-0.03,-1.24,5.0,2024,73
1.0,14:11,4.0,8.0,SFO 32,0.0,0.0,"Mitch Wishnowsky punts 41 yards, returned by Greg Dortch for 1 yard (tackle by George Odum)",-1.24,-0.81,5.0,2024,73
1.0,13:59,1.0,10.0,ARI 28,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 22 yards (tackle by De'Vondre Campbell),0.81,2.26,5.0,2024,73
1.0,13:20,1.0,10.0,ARI 50,6.0,0.0,"Kyler Murray right tackle for 50 yards, touchdown",2.26,7.0,5.0,2024,73
1.0,13:12,,,SFO 15,7.0,0.0,Chad Ryland kicks extra point good,0.0,0.0,5.0,2024,73
1.0,13:12,,,ARI 35,7.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,73
1.0,13:12,1.0,10.0,SFO 30,7.0,0.0,Brock Purdy pass complete deep left to Brandon Aiyuk for 53 yards (tackle by Sean Murphy-Bunting),0.94,4.44,5.0,2024,73
1.0,12:46,1.0,10.0,ARI 17,7.0,0.0,Brock Purdy pass complete short right to Deebo Samuel for 11 yards (tackle by Dante Stills and Budda Baker),4.44,5.83,5.0,2024,73
1.0,11:58,1.0,6.0,ARI 6,7.0,0.0,Jordan Mason right guard for no gain (tackle by Mack Wilson),5.83,4.95,5.0,2024,73
1.0,11:20,2.0,6.0,ARI 6,7.0,0.0,Brock Purdy pass incomplete short right intended for George Kittle (defended by Jalen Thompson),4.95,4.04,5.0,2024,73
1.0,11:12,3.0,6.0,ARI 6,7.0,0.0,Brock Purdy sacked by Krys Barnes for -4 yards,4.04,2.76,5.0,2024,73
1.0,10:28,4.0,10.0,ARI 10,7.0,3.0,Jake Moody 28 yard field goal good,2.76,3.0,5.0,2024,73
1.0,10:25,,,SFO 35,7.0,3.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,73
1.0,10:25,1.0,10.0,ARI 30,7.0,3.0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Dee Winters),0.94,0.39,5.0,2024,73
1.0,10:20,2.0,10.0,ARI 30,7.0,3.0,Kyler Murray pass incomplete short left intended for Marvin Harrison,0.39,-0.3,5.0,2024,73
1.0,10:16,3.0,10.0,ARI 30,7.0,3.0,Kyler Murray pass complete short right to Emari Demercado for no gain (tackle by Deommodore Lenoir),-0.3,-1.37,5.0,2024,73
1.0,9:39,4.0,10.0,ARI 30,7.0,3.0,"Blake Gillikin punts 46 yards out of bounds. Penalty on Robert Beal: Running Into the Kicker, 5 yards (declined)",-1.37,-0.54,5.0,2024,73
