Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,5.0,2024,76
1.0,15:00,,,NYG 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,76
1.0,15:00,1.0,10.0,SEA 30,0.0,0.0,Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Deonte Banks),0.94,0.39,5.0,2024,76
1.0,14:56,2.0,10.0,SEA 30,0.0,0.0,Geno Smith pass complete short right to D.K. Metcalf for 14 yards (tackle by Micah McFadden and Deonte Banks),0.39,1.86,5.0,2024,76
1.0,14:14,1.0,10.0,SEA 44,0.0,0.0,"Penalty on Connor Williams: False Start, 5 yards (accepted) (no play)",1.86,1.53,5.0,2024,76
1.0,13:53,1.0,15.0,SEA 39,0.0,0.0,Kenneth Walker right guard for 3 yards (tackle by Tyler Nubin and Cordale Flott),1.53,1.05,5.0,2024,76
1.0,13:11,2.0,12.0,SEA 42,0.0,0.0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Cordale Flott),1.05,0.37,5.0,2024,76
1.0,13:07,3.0,12.0,SEA 42,0.0,0.0,Geno Smith pass complete short middle to Zach Charbonnet for 8 yards (tackle by Andru Phillips and Jason Pinnock),0.37,-0.06,5.0,2024,76
1.0,12:23,4.0,4.0,SEA 50,0.0,0.0,"Michael Dickson punts 50 yards, touchback.",-0.06,-0.28,5.0,2024,76
1.0,12:15,1.0,10.0,NYG 20,0.0,0.0,"Daniel Jones sacked by Derick Hall for -10 yards. Daniel Jones fumbles (forced by Derick Hall), recovered by Andrew Thomas at NYG-5",0.28,-1.88,5.0,2024,76
1.0,11:31,2.0,25.0,NYG 5,0.0,0.0,Daniel Jones up the middle for 8 yards (tackle by Dre'Mont Jones and Rayshawn Jenkins),-1.88,-2.19,5.0,2024,76
1.0,10:54,3.0,17.0,NYG 13,0.0,0.0,Daniel Jones pass complete short left to Eric Gray for 18 yards (tackle by Julian Love),-2.19,1.0,5.0,2024,76
1.0,10:17,1.0,10.0,NYG 31,0.0,0.0,Daniel Jones pass complete short left to Eric Gray for 19 yards (tackle by Julian Love),1.0,2.26,5.0,2024,76
1.0,9:40,1.0,10.0,NYG 50,0.0,0.0,Daniel Jones pass complete short middle to Theo Johnson for 12 yards (tackle by Dre'Mont Jones),2.26,3.05,5.0,2024,76
1.0,9:00,1.0,10.0,SEA 38,0.0,0.0,Tyrone Tracy right guard for 3 yards (tackle by Uchenna Nwosu and Jarran Reed),3.05,2.91,5.0,2024,76
1.0,8:14,2.0,7.0,SEA 35,0.0,0.0,Tyrone Tracy up the middle for 6 yards (tackle by Leonard Williams),2.91,3.01,5.0,2024,76
1.0,7:32,3.0,1.0,SEA 29,0.0,0.0,Daniel Jones up the middle for 1 yard (tackle by Jerome Baker),3.01,3.71,5.0,2024,76
1.0,7:04,1.0,10.0,SEA 28,0.0,0.0,Daniel Jones pass incomplete short right intended for Darius Slayton,3.71,3.17,5.0,2024,76
1.0,6:59,2.0,10.0,SEA 28,0.0,0.0,Daniel Jones pass complete short right to Theo Johnson for 3 yards (tackle by Julian Love),3.17,2.87,5.0,2024,76
1.0,6:17,3.0,7.0,SEA 25,0.0,0.0,Daniel Jones pass complete short left to Darius Slayton for 7 yards (tackle by Tre Brown),2.87,4.37,5.0,2024,76
1.0,5:31,1.0,10.0,SEA 18,0.0,0.0,Daniel Jones pass complete short middle to Eric Gray for 13 yards (tackle by Jerome Baker),4.37,6.06,5.0,2024,76
1.0,4:44,1.0,5.0,SEA 5,0.0,0.0,Eric Gray left end for 2 yards (tackle by Julian Love and Tre Brown),6.06,5.53,5.0,2024,76
