Unnamed: 0,NYG,SEA,week,year,game_id
First Downs,24,17,5.0,2024,76
Rush-Yds-TDs,34-175-0,11-102-0,5.0,2024,76
Cmp-Att-Yd-TD-INT,23-34-257-2-0,28-40-284-1-0,5.0,2024,76
Sacked-Yards,3-12,7-53,5.0,2024,76
Net Pass Yards,245,231,5.0,2024,76
Total Yards,420,333,5.0,2024,76
Fumbles-Lost,2-1,1-1,5.0,2024,76
Turnovers,1,1,5.0,2024,76
Penalties-Yards,2-20,6-30,5.0,2024,76
Third Down Conv.,7-16,3-11,5.0,2024,76
Fourth Down Conv.,0-1,0-2,5.0,2024,76
Time of Possession,37:22,22:38,5.0,2024,76
