Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Brock Bowers,LVR,12,8,97,1,4.0,34,4.3,63,7.9,6.8,0,,0,0.0,2,79.5,5.0,2024,74
Jakobi Meyers,LVR,9,6,72,0,4.0,64,10.7,8,1.3,9.9,0,,1,11.1,0,91.0,5.0,2024,74
Ameer Abdullah,LVR,3,3,9,0,1.0,-10,-3.3,19,6.3,-3.3,0,,0,0.0,0,79.2,5.0,2024,74
Tre Tucker,LVR,5,2,18,0,1.0,14,7.0,4,2.0,17.2,0,,0,0.0,1,10.8,5.0,2024,74
Alexander Mattison,LVR,3,2,23,0,2.0,-2,-1.0,25,12.5,1.7,0,,0,0.0,0,89.6,5.0,2024,74
DJ Turner,LVR,4,1,12,0,1.0,5,5.0,7,7.0,15.8,0,,0,0.0,0,39.6,5.0,2024,74
Javonte Williams,DEN,6,5,50,0,1.0,-5,-1.0,55,11.0,-1.5,2,2.5,0,0.0,0,101.4,5.0,2024,74
Jaleel McLaughlin,DEN,4,3,3,1,1.0,-21,-7.0,24,8.0,-6.8,0,,0,0.0,0,116.7,5.0,2024,74
Lil'Jordan Humphrey,DEN,2,2,48,0,2.0,16,8.0,32,16.0,8.0,2,1.0,0,0.0,0,118.7,5.0,2024,74
Courtland Sutton,DEN,5,2,32,0,2.0,27,13.5,5,2.5,14.2,1,2.0,0,0.0,0,62.1,5.0,2024,74
Lucas Krull,DEN,1,1,5,0,,1,1.0,4,4.0,1.0,0,,0,0.0,0,87.5,5.0,2024,74
Marvin Mims,DEN,1,1,7,0,0.0,-2,-2.0,9,9.0,-2.0,0,,0,0.0,0,95.8,5.0,2024,74
Josh Reynolds,DEN,2,1,9,1,1.0,9,9.0,0,0.0,7.5,0,,0,0.0,0,102.1,5.0,2024,74
Adam Trautman,DEN,1,1,19,0,1.0,4,4.0,15,15.0,4.0,0,,0,0.0,0,118.7,5.0,2024,74
Troy Franklin,DEN,2,1,20,0,1.0,20,20.0,0,0.0,32.5,0,,1,50.0,0,85.4,5.0,2024,74
Michael Burton,DEN,1,1,5,0,,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5,5.0,2024,74
Nate Adkins,DEN,1,1,8,0,,5,5.0,3,3.0,5.0,0,,0,0.0,0,100.0,5.0,2024,74
