Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Ravens to receive the opening kickoff.",,,5.0,2024,69
1,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,69
1,15:00,1.0,10.0,BAL 30,0.0,0.0,Zay Flowers left end for 9 yards (tackle by Cam Taylor-Britt),0.94,1.61,5.0,2024,69
1,14:27,2.0,1.0,BAL 39,0.0,0.0,Derrick Henry right guard for 4 yards (tackle by Trey Hendrickson),1.61,1.8,5.0,2024,69
1,13:54,1.0,10.0,BAL 43,0.0,0.0,Derrick Henry right tackle for 2 yards (tackle by Daxton Hill and Sam Hubbard),1.8,1.52,5.0,2024,69
1,13:14,2.0,8.0,BAL 45,0.0,0.0,Lamar Jackson pass complete short left to Charlie Kolar for 7 yards (tackle by Maema Njongmeta and Germaine Pratt),1.52,1.75,5.0,2024,69
1,12:33,3.0,1.0,CIN 48,0.0,0.0,Derrick Henry left guard for 4 yards (tackle by Vonn Bell),1.75,2.65,5.0,2024,69
1,11:56,1.0,10.0,CIN 44,0.0,0.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,2.65,2.11,5.0,2024,69
1,11:51,2.0,10.0,CIN 44,0.0,0.0,Lamar Jackson pass complete short left to Justice Hill for 8 yards (tackle by Germaine Pratt),2.11,2.48,5.0,2024,69
1,11:14,3.0,2.0,CIN 36,0.0,0.0,Justice Hill right end for 5 yards (tackle by Logan Wilson),2.48,3.51,5.0,2024,69
1,10:36,1.0,10.0,CIN 31,0.0,0.0,Lamar Jackson pass complete deep left to Zay Flowers for 23 yards (tackle by Cam Taylor-Britt),3.51,5.37,5.0,2024,69
1,9:54,1.0,8.0,CIN 8,0.0,0.0,Lamar Jackson right end for 3 yards (tackle by B.J. Hill),5.37,5.15,5.0,2024,69
1,9:12,2.0,5.0,CIN 5,0.0,0.0,"Lamar Jackson right end for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Lamar Jackson right end for 4 yards (tackle by Sam Hubbard)",5.15,5.17,5.0,2024,69
1,8:59,3.0,1.0,CIN 1,6.0,0.0,"Derrick Henry right end for 1 yard, touchdown",5.17,7.0,5.0,2024,69
1,8:54,,,CIN 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,5.0,2024,69
1,8:54,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,69
1,8:54,1.0,10.0,CIN 30,7.0,0.0,Joe Burrow scrambles left guard for 1 yard (tackle by Odafe Oweh),0.94,0.53,5.0,2024,69
1,8:19,2.0,9.0,CIN 31,7.0,0.0,Joe Burrow pass complete short middle to Tee Higgins for 3 yards (tackle by Kyle Hamilton),0.53,0.23,5.0,2024,69
1,7:39,3.0,6.0,CIN 34,7.0,0.0,"Penalty on Odafe Oweh: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.23,0.89,5.0,2024,69
1,7:39,3.0,1.0,CIN 39,7.0,0.0,Zack Moss right guard for no gain (tackle by Roquan Smith),0.89,-0.78,5.0,2024,69
1,6:48,4.0,1.0,CIN 39,7.0,0.0,"Ryan Rehkow punts 45 yards, fair catch by Tylan Wallace at BAL-16",-0.78,0.14,5.0,2024,69
