Quarter,Time,Down,ToGo,Location,DAL,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,5.0,2024,77
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, returned by KaVontae Turpin for 38 yards (tackle by Mark Robinson). Penalty on Damontae Kazee: Illegal Formation, 5 yards (accepted)",0.0,1.8,5.0,2024,77
1.0,14:55,1.0,10.0,DAL 43,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by T.J. Watt),1.8,1.66,5.0,2024,77
1.0,14:22,2.0,7.0,DAL 46,0.0,0.0,Dak Prescott pass complete short right to Brevyn Spann-Ford for 13 yards (tackle by Minkah Fitzpatrick),1.66,2.85,5.0,2024,77
1.0,13:54,1.0,10.0,PIT 41,0.0,0.0,Rico Dowdle left guard for 1 yard (tackle by DeShon Elliott),2.85,2.44,5.0,2024,77
1.0,13:25,2.0,9.0,PIT 40,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 4 yards (tackle by Elandon Roberts),2.44,2.28,5.0,2024,77
1.0,12:47,3.0,5.0,PIT 36,0.0,0.0,Dak Prescott pass incomplete short middle intended for Jalen Tolbert (defended by Beanie Bishop),2.28,0.88,5.0,2024,77
1.0,12:39,4.0,5.0,PIT 36,3.0,0.0,Brandon Aubrey 55 yard field goal good,0.88,3.0,5.0,2024,77
1.0,12:35,,,DAL 35,3.0,0.0,"Brandon Aubrey kicks off 65 yards, returned by Aaron Shampklin for 25 yards (tackle by Damone Clark)",0.0,0.61,5.0,2024,77
1.0,12:29,1.0,10.0,PIT 25,3.0,0.0,Justin Fields right end for 8 yards (tackle by Eric Kendricks),0.61,1.14,5.0,2024,77
1.0,11:50,2.0,2.0,PIT 33,3.0,0.0,Najee Harris left tackle for 4 yards (tackle by Marshawn Kneeland and Chauncey Golston),1.14,1.4,5.0,2024,77
1.0,11:17,1.0,10.0,PIT 37,3.0,0.0,Justin Fields pass incomplete deep left intended for Connor Heyward,1.4,0.86,5.0,2024,77
1.0,11:09,2.0,10.0,PIT 37,3.0,0.0,"Justin Fields left end for 5 yards (tackle by Marshawn Kneeland). Penalty on Mazi Smith: Defensive Holding, 5 yards (accepted)",0.86,2.06,5.0,2024,77
1.0,10:47,1.0,10.0,PIT 47,3.0,0.0,Justin Fields pass complete short right to George Pickens for 8 yards (tackle by Jourdan Lewis),2.06,2.6,5.0,2024,77
1.0,10:14,2.0,2.0,DAL 45,3.0,0.0,Najee Harris left guard for no gain (tackle by Osa Odighizuwa),2.6,1.88,5.0,2024,77
1.0,9:30,3.0,2.0,DAL 45,3.0,0.0,Justin Fields pass complete short left to Najee Harris for 15 yards (tackle by Trevon Diggs),1.88,3.58,5.0,2024,77
1.0,8:57,1.0,10.0,DAL 30,3.0,0.0,Justin Fields pass incomplete deep left intended for Darnell Washington,3.58,3.03,5.0,2024,77
1.0,8:50,2.0,10.0,DAL 30,3.0,0.0,Jonathan Ward left end for 2 yards (tackle by DeMarvion Overshown),3.03,2.61,5.0,2024,77
1.0,8:16,3.0,8.0,DAL 28,3.0,0.0,Aaron Shampklin left end for 5 yards (tackle by Chauncey Golston),2.61,2.03,5.0,2024,77
1.0,7:36,4.0,3.0,DAL 23,3.0,3.0,Chris Boswell 41 yard field goal good,2.03,3.0,5.0,2024,77
1.0,7:33,,,PIT 35,3.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,77
1.0,7:33,1.0,10.0,DAL 30,3.0,3.0,"Penalty on Tyler Guyton: False Start, 5 yards (accepted) (no play)",0.94,0.61,5.0,2024,77
1.0,7:33,1.0,15.0,DAL 25,3.0,3.0,Dak Prescott pass complete short right to KaVontae Turpin for 4 yards (tackle by Patrick Queen),0.61,0.26,5.0,2024,77
1.0,7:05,2.0,11.0,DAL 29,3.0,3.0,Dak Prescott pass complete short middle to Jalen Brooks for 10 yards (tackle by DeShon Elliott),0.26,0.89,5.0,2024,77
1.0,6:46,3.0,1.0,DAL 39,3.0,3.0,"Dak Prescott pass incomplete short left. Penalty on Dak Prescott: Intentional Grounding, 10 yards (accepted)",0.89,-1.44,5.0,2024,77
