Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Trey Sermon,IND,10,38,1,4.0,22,2.2,16,1.6,0,,5.0,2024,71
Tyler Goodson,IND,5,26,0,1.0,19,3.8,7,1.4,0,,5.0,2024,71
Joe Flacco,IND,3,22,0,2.0,21,7.0,1,0.3,0,,5.0,2024,71
Ashton Dulin,IND,1,9,0,,7,7.0,2,2.0,0,,5.0,2024,71
Adonai Mitchell,IND,1,4,0,0.0,2,2.0,2,2.0,0,,5.0,2024,71
Tank Bigsby,JAX,13,101,2,3.0,11,0.8,90,6.9,3,4.3,5.0,2024,71
Travis Etienne,JAX,6,17,0,1.0,9,1.5,8,1.3,0,,5.0,2024,71
Trevor Lawrence,JAX,2,4,0,2.0,2,1.0,2,1.0,0,,5.0,2024,71
Devin Duvernay,JAX,1,3,0,,0,0.0,3,3.0,0,,5.0,2024,71
D'Ernest Johnson,JAX,1,1,0,,0,0.0,1,1.0,0,,5.0,2024,71
