Unnamed: 0,TAM,ATL,week,year,game_id
First Downs,21,28,5.0,2024,65
Rush-Yds-TDs,26-160-0,18-73-0,5.0,2024,65
Cmp-Att-Yd-TD-INT,19-24-180-3-0,42-59-509-4-1,5.0,2024,65
Sacked-Yards,1-7,4-32,5.0,2024,65
Net Pass Yards,173,477,5.0,2024,65
Total Yards,333,550,5.0,2024,65
Fumbles-Lost,2-1,1-0,5.0,2024,65
Turnovers,1,1,5.0,2024,65
Penalties-Yards,5-47,8-74,5.0,2024,65
Third Down Conv.,6-11,6-14,5.0,2024,65
Fourth Down Conv.,0-0,2-3,5.0,2024,65
Time of Possession,27:38,33:37,5.0,2024,65
