Unnamed: 0,BAL,CIN,week,year,game_id
First Downs,30,23,5.0,2024,69
Rush-Yds-TDs,34-175-1,23-71-0,5.0,2024,69
Cmp-Att-Yd-TD-INT,26-42-348-4-0,30-39-392-5-1,5.0,2024,69
Sacked-Yards,1-3,3-21,5.0,2024,69
Net Pass Yards,345,371,5.0,2024,69
Total Yards,520,442,5.0,2024,69
Fumbles-Lost,2-1,0-0,5.0,2024,69
Turnovers,1,1,5.0,2024,69
Penalties-Yards,5-21,4-24,5.0,2024,69
Third Down Conv.,10-15,8-14,5.0,2024,69
Fourth Down Conv.,1-1,0-0,5.0,2024,69
Time of Possession,33:45,32:42,5.0,2024,69
