Quarter,Time,Tm,Detail,TAM,ATL,week,year,game_id
1,11:54,Falcons,Drake London 18 yard pass from Kirk Cousins (Younghoe Koo kick),0,7,5.0,2024,65
,7:36,Buccaneers,Mike Evans 2 yard pass from Baker Mayfield (Chase McLaughlin kick),7,7,5.0,2024,65
,1:22,Buccaneers,Chase McLaughlin 53 yard field goal,10,7,5.0,2024,65
2,11:58,Falcons,Darnell Mooney 24 yard pass from Kirk Cousins (Younghoe Koo kick),10,14,5.0,2024,65
,10:17,Buccaneers,Mike Evans 23 yard pass from Baker Mayfield (Chase McLaughlin kick),17,14,5.0,2024,65
,6:17,Falcons,Younghoe Koo 54 yard field goal,17,17,5.0,2024,65
,1:56,Buccaneers,Sterling Shepard 4 yard pass from Baker Mayfield (Chase McLaughlin kick),24,17,5.0,2024,65
3,6:21,Falcons,Younghoe Koo 48 yard field goal,24,20,5.0,2024,65
,1:17,Buccaneers,Chase McLaughlin 32 yard field goal,27,20,5.0,2024,65
4,13:18,Falcons,Darnell Mooney 12 yard pass from Kirk Cousins (Younghoe Koo kick),27,27,5.0,2024,65
,10:23,Buccaneers,Chase McLaughlin 53 yard field goal,30,27,5.0,2024,65
,0:00,Falcons,Younghoe Koo 52 yard field goal,30,30,5.0,2024,65
OT,8:45,Falcons,KhaDarel Hodge 45 yard pass from Kirk Cousins,30,36,5.0,2024,65
