Unnamed: 0,CAR,CHI,week,year,game_id
First Downs,14,24,5.0,2024,68
Rush-Yds-TDs,19-120-1,39-128-3,5.0,2024,68
Cmp-Att-Yd-TD-INT,22-35-194-0-1,20-29-304-2-0,5.0,2024,68
Sacked-Yards,4-22,1-8,5.0,2024,68
Net Pass Yards,172,296,5.0,2024,68
Total Yards,292,424,5.0,2024,68
Fumbles-Lost,4-2,0-0,5.0,2024,68
Turnovers,3,0,5.0,2024,68
Penalties-Yards,4-18,5-46,5.0,2024,68
Third Down Conv.,3-12,4-11,5.0,2024,68
Fourth Down Conv.,1-3,0-1,5.0,2024,68
Time of Possession,26:12,33:48,5.0,2024,68
