Unnamed: 0,DAL,PIT,week,year,game_id
First Downs,25,17,5.0,2024,77
Rush-Yds-TDs,31-109-0,26-92-0,5.0,2024,77
Cmp-Att-Yd-TD-INT,29-42-352-2-2,16-28-150-2-0,5.0,2024,77
Sacked-Yards,2-16,3-16,5.0,2024,77
Net Pass Yards,336,134,5.0,2024,77
Total Yards,445,226,5.0,2024,77
Fumbles-Lost,2-1,2-1,5.0,2024,77
Turnovers,3,1,5.0,2024,77
Penalties-Yards,11-87,8-50,5.0,2024,77
Third Down Conv.,9-15,3-12,5.0,2024,77
Fourth Down Conv.,1-1,2-2,5.0,2024,77
Time of Possession,32:29,27:31,5.0,2024,77
