Quarter,Time,Tm,Detail,NOR,KAN,week,year,game_id
1.0,6:34,Chiefs,Kareem Hunt 5 yard rush (Harrison Butker kick),0,7,5.0,2024,78
2.0,12:39,Chiefs,Harrison Butker 26 yard field goal,0,10,5.0,2024,78
,8:36,Saints,Rashid Shaheed 43 yard pass from Derek Carr (Blake Grupe kick),7,10,5.0,2024,78
,1:32,Chiefs,Harrison Butker 34 yard field goal,7,13,5.0,2024,78
,0:06,Chiefs,Harrison Butker 28 yard field goal,7,16,5.0,2024,78
4.0,14:16,Saints,Foster Moreau 6 yard pass from Derek Carr (Blake Grupe kick failed),13,16,5.0,2024,78
,11:56,Chiefs,Xavier Worthy 3 yard rush (Harrison Butker kick),13,23,5.0,2024,78
,3:03,Chiefs,Harrison Butker 38 yard field goal,13,26,5.0,2024,78
