Quarter,Time,Tm,Detail,NYJ,MIN,week,year,game_id
1.0,7:41,Vikings,Will Reichard 54 yard field goal,0,3,5.0,2024,66
,2:18,Vikings,Andrew Van Ginkel 63 yard interception return (Will Reichard kick),0,10,5.0,2024,66
2.0,3:58,Vikings,C.J. Ham 2 yard rush (Will Reichard kick),0,17,5.0,2024,66
,0:36,Jets,Allen Lazard 14 yard pass from Aaron Rodgers (Greg Zuerlein kick),7,17,5.0,2024,66
3.0,0:50,Jets,Greg Zuerlein 32 yard field goal,10,17,5.0,2024,66
4.0,12:07,Vikings,Will Reichard 53 yard field goal,10,20,5.0,2024,66
,6:04,Jets,Garrett Wilson 1 yard pass from Aaron Rodgers (Greg Zuerlein kick),17,20,5.0,2024,66
,3:07,Vikings,Will Reichard 41 yard field goal,17,23,5.0,2024,66
