Unnamed: 0,IND,JAX,week,year,game_id
First Downs,25,20,5.0,2024,71
Rush-Yds-TDs,20-99-1,23-126-2,5.0,2024,71
Cmp-Att-Yd-TD-INT,34-45-383-3-0,28-34-371-2-1,5.0,2024,71
Sacked-Yards,4-35,0-0,5.0,2024,71
Net Pass Yards,348,371,5.0,2024,71
Total Yards,447,497,5.0,2024,71
Fumbles-Lost,1-1,2-1,5.0,2024,71
Turnovers,1,2,5.0,2024,71
Penalties-Yards,5-34,3-25,5.0,2024,71
Third Down Conv.,7-14,3-10,5.0,2024,71
Fourth Down Conv.,1-1,1-2,5.0,2024,71
Time of Possession,31:32,28:28,5.0,2024,71
