0,1,week,year,game_id
Won Toss,Bears (deferred),5.0,2024,68
Roof,outdoors,5.0,2024,68
Surface,grass,5.0,2024,68
Duration,3:08,5.0,2024,68
Attendance,59307,5.0,2024,68
Weather,"74 degrees, relative humidity 27%, wind 7 mph",5.0,2024,68
Vegas Line,Chicago Bears -4.0,5.0,2024,68
Over/Under,40.5 (over),5.0,2024,68
