Unnamed: 0,MIA,NWE,week,year,game_id
First Downs,24,15,5.0,2024,72
Rush-Yds-TDs,41-193-1,19-151-1,5.0,2024,72
Cmp-Att-Yd-TD-INT,18-31-194-0-1,18-34-160-0-0,5.0,2024,72
Sacked-Yards,3-15,2-12,5.0,2024,72
Net Pass Yards,179,148,5.0,2024,72
Total Yards,372,299,5.0,2024,72
Fumbles-Lost,3-1,0-0,5.0,2024,72
Turnovers,2,0,5.0,2024,72
Penalties-Yards,6-54,12-105,5.0,2024,72
Third Down Conv.,2-11,4-13,5.0,2024,72
Fourth Down Conv.,0-1,0-1,5.0,2024,72
Time of Possession,34:20,25:40,5.0,2024,72
