Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,,5.0,2024,65
1,15:00,,,TAM 35,0.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,65
1,15:00,1.0,10.0,ATL 30,0.0,0.0,Bijan Robinson right tackle for 2 yards (tackle by Tykee Smith and Lavonte David),0.94,0.66,5.0,2024,65
1,14:33,2.0,8.0,ATL 32,0.0,0.0,Kirk Cousins pass complete deep right to Kyle Pitts for 32 yards (tackle by Zyon McCollum),0.66,3.18,5.0,2024,65
1,14:04,1.0,10.0,TAM 36,0.0,0.0,Bijan Robinson left end for 3 yards (tackle by Christian Izien),3.18,3.04,5.0,2024,65
1,13:23,2.0,7.0,TAM 33,0.0,0.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,3.04,2.35,5.0,2024,65
1,13:16,3.0,7.0,TAM 33,0.0,0.0,Kirk Cousins pass complete short middle to Drake London for 15 yards (tackle by Lavonte David),2.35,4.37,5.0,2024,65
1,12:40,1.0,10.0,TAM 18,0.0,0.0,Bijan Robinson right tackle for no gain (tackle by Tykee Smith),4.37,3.8,5.0,2024,65
1,12:01,2.0,10.0,TAM 18,0.0,6.0,"Kirk Cousins pass complete short left to Drake London for 18 yards, touchdown",3.8,7.0,5.0,2024,65
1,11:54,,,TAM 15,0.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,5.0,2024,65
1,11:54,,,ATL 35,0.0,7.0,"Younghoe Koo kicks off 61 yards, returned by Sean Tucker for 33 yards (tackle by Richie Grant)",0.0,1.4,5.0,2024,65
1,11:48,1.0,10.0,TAM 37,0.0,7.0,Baker Mayfield pass complete short right to Mike Evans for 15 yards (tackle by AJ Terrell),1.4,2.39,5.0,2024,65
1,11:14,1.0,10.0,ATL 48,0.0,7.0,Rachaad White right tackle for 5 yards (tackle by Kaden Elliss),2.39,2.52,5.0,2024,65
1,10:38,2.0,5.0,ATL 43,0.0,7.0,Baker Mayfield pass incomplete short left intended for Mike Evans,2.52,1.82,5.0,2024,65
1,10:32,3.0,5.0,ATL 43,0.0,7.0,Baker Mayfield pass complete short middle to Mike Evans for 9 yards (tackle by DeAundre Alford and Jessie Bates),1.82,3.31,5.0,2024,65
1,9:51,1.0,10.0,ATL 34,0.0,7.0,Rachaad White right tackle for 1 yard (tackle by Ruke Orhorhoro and James Smith-Williams),3.31,2.91,5.0,2024,65
1,9:28,2.0,9.0,ATL 33,0.0,7.0,Rachaad White right tackle for no gain (tackle by James Smith-Williams and DeAundre Alford),2.91,2.21,5.0,2024,65
1,8:54,3.0,9.0,ATL 33,0.0,7.0,Baker Mayfield pass complete short right to Cade Otton for 15 yards (tackle by JD Bertrand),2.21,4.37,5.0,2024,65
1,8:16,1.0,10.0,ATL 18,0.0,7.0,Baker Mayfield pass complete short middle to Chris Godwin for 16 yards (tackle by DeAundre Alford),4.37,6.74,5.0,2024,65
1,7:40,1.0,2.0,ATL 2,6.0,7.0,"Baker Mayfield pass complete short middle to Mike Evans for 2 yards, touchdown",6.74,7.0,5.0,2024,65
1,7:36,,,ATL 15,7.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,5.0,2024,65
1,7:36,,,TAM 35,7.0,7.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,65
1,7:36,1.0,10.0,ATL 30,7.0,7.0,Kirk Cousins pass complete deep left to Darnell Mooney for 20 yards (tackle by Jamel Dean),0.94,2.26,5.0,2024,65
1,7:07,1.0,10.0,TAM 50,7.0,7.0,Kirk Cousins pass complete short right to Tyler Allgeier for 3 yards (tackle by YaYa Diaby),2.26,2.12,5.0,2024,65
1,6:31,2.0,7.0,TAM 47,7.0,7.0,Tyler Allgeier right tackle for 8 yards (tackle by K.J. Britt and Jordan Whitehead),2.12,2.98,5.0,2024,65
1,5:49,1.0,10.0,TAM 39,7.0,7.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 15 yards (tackle by Tykee Smith),2.98,3.97,5.0,2024,65
1,5:16,1.0,10.0,TAM 24,7.0,7.0,Darnell Mooney pass incomplete deep right,3.97,3.43,5.0,2024,65
1,5:07,2.0,10.0,TAM 24,7.0,7.0,Kirk Cousins pass complete short right to Drake London for 5 yards (tackle by Tykee Smith),3.43,3.41,5.0,2024,65
1,4:31,3.0,5.0,TAM 19,7.0,7.0,Kirk Cousins sacked by Vita Vea for -9 yards,3.41,1.59,5.0,2024,65
1,3:39,4.0,14.0,TAM 28,7.0,7.0,"Younghoe Koo yard field goal no good. Penalty on Josh Hayes: Defensive Offside, 5 yards (accepted) (no play)",1.59,1.93,5.0,2024,65
1,3:34,4.0,9.0,TAM 23,7.0,7.0,Younghoe Koo 41 yard field goal no good,1.93,-1.0,5.0,2024,65
1,3:30,1.0,10.0,TAM 31,7.0,7.0,Baker Mayfield pass complete short left to Chris Godwin for 11 yards (tackle by AJ Terrell and Lorenzo Carter),1.0,1.73,5.0,2024,65
1,2:57,1.0,10.0,TAM 42,7.0,7.0,Bucky Irving left end for 16 yards (tackle by Justin Simmons),1.73,2.79,5.0,2024,65
1,2:16,1.0,10.0,ATL 42,7.0,7.0,Baker Mayfield pass incomplete deep middle intended for Sterling Shepard,2.79,2.24,5.0,2024,65
1,2:09,2.0,10.0,ATL 42,7.0,7.0,Baker Mayfield pass complete short left to Chris Godwin for 7 yards (tackle by Justin Simmons),2.24,2.48,5.0,2024,65
1,1:31,3.0,3.0,ATL 35,7.0,7.0,Baker Mayfield pass incomplete short left intended for Chris Godwin,2.48,0.99,5.0,2024,65
1,1:27,4.0,3.0,ATL 35,10.0,7.0,Chase McLaughlin 53 yard field goal good,0.99,3.0,5.0,2024,65
1,1:22,,,TAM 35,10.0,7.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,65
1,1:22,1.0,10.0,ATL 30,10.0,7.0,Bijan Robinson left end for 6 yards (tackle by Tykee Smith),0.94,1.2,5.0,2024,65
1,0:47,2.0,4.0,ATL 36,10.0,7.0,Bijan Robinson right tackle for 1 yard (tackle by Joe Tryon-Shoyinka and YaYa Diaby),1.2,0.63,5.0,2024,65
