Quarter,Time,Down,ToGo,Location,CLE,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Browns to receive the opening kickoff.",,,5.0,2024,70
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 64 yards, returned by D'Onta Foreman for 29 yards (tackle by Jeremy McNichols and Nick Bellore)",0.0,0.94,5.0,2024,70
1.0,14:55,1.0,10.0,CLE 30,0.0,0.0,Deshaun Watson pass complete short left to David Njoku for 14 yards (tackle by Jeremy Chinn),0.94,1.86,5.0,2024,70
1.0,14:23,1.0,10.0,CLE 44,0.0,0.0,Deshaun Watson pass complete short right to Jerome Ford for 7 yards (tackle by Quan Martin),1.86,2.26,5.0,2024,70
1.0,13:42,2.0,3.0,WAS 49,0.0,0.0,Deshaun Watson pass incomplete deep middle intended for Amari Cooper,2.26,1.55,5.0,2024,70
1.0,13:35,3.0,3.0,WAS 49,0.0,0.0,Pierre Strong right guard for 2 yards (tackle by Dorance Armstrong and Frankie Luvu),1.55,0.13,5.0,2024,70
1.0,12:56,4.0,1.0,WAS 47,0.0,0.0,D'Onta Foreman left end for no gain (tackle by Frankie Luvu),0.13,-2.06,5.0,2024,70
1.0,12:51,1.0,10.0,WAS 47,0.0,0.0,Brian Robinson right tackle for -1 yards (tackle by Jeremiah Owusu-Koramoah),2.06,1.38,5.0,2024,70
1.0,12:24,2.0,11.0,WAS 46,0.0,0.0,Jayden Daniels right end for 1 yard (tackle by Ronnie Hickman and Shelby Harris),1.38,0.83,5.0,2024,70
1.0,11:51,3.0,10.0,WAS 47,0.0,0.0,Jayden Daniels sacked by Za'Darius Smith for -9 yards,0.83,-0.85,5.0,2024,70
1.0,11:14,4.0,19.0,WAS 38,0.0,0.0,"Tress Way punts 42 yards, returned by James Proche for 7 yards (tackle by Kevon Seymour and Nick Bellore)",-0.85,-0.74,5.0,2024,70
1.0,11:03,1.0,10.0,CLE 27,0.0,0.0,Deshaun Watson pass complete short left to Jerome Ford for -7 yards (tackle by Jonathan Allen),0.74,-0.75,5.0,2024,70
1.0,10:17,2.0,17.0,CLE 20,0.0,0.0,Deshaun Watson pass incomplete short right intended for Pierre Strong (defended by Mike Sainristil),-0.75,-1.42,5.0,2024,70
1.0,10:09,3.0,17.0,CLE 20,0.0,0.0,Deshaun Watson pass incomplete deep right intended for David Njoku,-1.42,-2.03,5.0,2024,70
1.0,10:02,4.0,17.0,CLE 20,0.0,0.0,"Corey Bojorquez punts 61 yards, fair catch by Olamide Zaccheaus at WAS-19. Penalty on Mike Ford: Fair Catch Interference, 15 yards (accepted)",-2.03,-1.2,5.0,2024,70
1.0,9:54,1.0,10.0,WAS 34,0.0,0.0,Jayden Daniels pass complete short right to Austin Ekeler for -3 yards (tackle by Martin Emerson),1.2,0.25,5.0,2024,70
1.0,9:19,2.0,13.0,WAS 31,0.0,0.0,Jayden Daniels pass incomplete short left intended for Terry McLaurin (defended by Devin Bush) (defended by Denzel Ward),0.25,-0.43,5.0,2024,70
1.0,9:14,3.0,13.0,WAS 31,0.0,0.0,Jayden Daniels pass complete deep right to Terry McLaurin for 66 yards (tackle by Denzel Ward),-0.43,6.51,5.0,2024,70
1.0,8:22,,,,,,Timeout #1 by Washington Commanders,,,5.0,2024,70
1.0,8:22,1.0,3.0,CLE 3,0.0,0.0,Jayden Daniels right end for -2 yards (tackle by Grant Delpit),6.51,5.15,5.0,2024,70
1.0,7:43,2.0,5.0,CLE 5,0.0,0.0,Jayden Daniels pass incomplete short middle intended for Zach Ertz,5.15,4.26,5.0,2024,70
1.0,7:38,3.0,5.0,CLE 5,0.0,0.0,Jayden Daniels pass short right intended for Zach Ertz is intercepted by Jeremiah Owusu-Koramoah at CLE-1 and returned for no gain (tackle by Zach Ertz),4.26,0.38,5.0,2024,70
1.0,7:36,1.0,10.0,CLE 1,0.0,0.0,D'Onta Foreman right guard for 2 yards (tackle by Daron Payne),-0.38,-0.63,5.0,2024,70
1.0,6:56,2.0,8.0,CLE 3,0.0,0.0,D'Onta Foreman left tackle for 2 yards (tackle by Jonathan Allen and Jeremy Chinn),-0.63,-0.95,5.0,2024,70
1.0,6:21,3.0,6.0,CLE 5,0.0,0.0,Deshaun Watson pass incomplete deep left intended for Amari Cooper,-0.95,-2.49,5.0,2024,70
