Unnamed: 0,NYJ,MIN,week,year,game_id
First Downs,17,17,5.0,2024,66
Rush-Yds-TDs,14-36-0,30-82-1,5.0,2024,66
Cmp-Att-Yd-TD-INT,29-54-244-2-3,15-32-203-0-1,5.0,2024,66
Sacked-Yards,3-26,4-32,5.0,2024,66
Net Pass Yards,218,171,5.0,2024,66
Total Yards,254,253,5.0,2024,66
Fumbles-Lost,1-0,2-1,5.0,2024,66
Turnovers,3,2,5.0,2024,66
Penalties-Yards,8-76,11-80,5.0,2024,66
Third Down Conv.,5-17,4-13,5.0,2024,66
Fourth Down Conv.,0-1,0-1,5.0,2024,66
Time of Possession,29:23,30:37,5.0,2024,66
