Unnamed: 0,LVR,DEN,week,year,game_id
First Downs,20,18,5.0,2024,74
Rush-Yds-TDs,25-115-1,28-109-1,5.0,2024,74
Cmp-Att-Yd-TD-INT,22-37-231-1-3,19-27-206-2-0,5.0,2024,74
Sacked-Yards,3-16,3-26,5.0,2024,74
Net Pass Yards,215,180,5.0,2024,74
Total Yards,330,289,5.0,2024,74
Fumbles-Lost,0-0,1-0,5.0,2024,74
Turnovers,3,0,5.0,2024,74
Penalties-Yards,11-79,9-44,5.0,2024,74
Third Down Conv.,7-15,3-12,5.0,2024,74
Fourth Down Conv.,0-1,1-1,5.0,2024,74
Time of Possession,31:23,28:37,5.0,2024,74
