Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Panthers to receive the opening kickoff.",,,5.0,2024,68
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,68
1.0,15:00,1.0,10.0,CAR 30,0.0,0.0,Chuba Hubbard left tackle for 5 yards (tackle by T.J. Edwards and Jaquan Brisker),0.94,1.07,5.0,2024,68
1.0,14:22,2.0,5.0,CAR 35,0.0,0.0,Andy Dalton pass complete short right to Chuba Hubbard for no gain (tackle by Kyler Gordon),1.07,0.37,5.0,2024,68
1.0,13:38,3.0,5.0,CAR 35,0.0,0.0,Andy Dalton pass incomplete short left intended for Tommy Tremble,0.37,-1.04,5.0,2024,68
1.0,13:32,4.0,5.0,CAR 35,0.0,0.0,Johnny Hekker punts 47 yards downed by Thomas Incoom,-1.04,-0.04,5.0,2024,68
1.0,13:21,1.0,10.0,CHI 18,0.0,0.0,Caleb Williams pass incomplete short left intended for Keenan Allen,0.04,-0.49,5.0,2024,68
1.0,13:17,2.0,10.0,CHI 18,0.0,0.0,D'Andre Swift left end for 3 yards (tackle by Shy Tuttle and Chau Smith-Wade),-0.49,-0.79,5.0,2024,68
1.0,12:37,3.0,7.0,CHI 21,0.0,0.0,Caleb Williams sacked by Charles Harris for -8 yards,-0.79,-2.49,5.0,2024,68
1.0,11:53,4.0,15.0,CHI 13,0.0,0.0,"Tory Taylor punts 49 yards, returned by Raheem Blackshear for 11 yards (tackle by Elijah Hicks and Jack Sanborn)",-2.49,-2.19,5.0,2024,68
1.0,11:39,1.0,10.0,CAR 49,0.0,0.0,Diontae Johnson left end for 2 yards (tackle by Jack Sanborn),2.19,1.92,5.0,2024,68
1.0,11:02,2.0,8.0,CHI 49,0.0,0.0,Andy Dalton pass complete short middle to David Moore for 6 yards (tackle by Kevin Byard and Jaquan Brisker),1.92,2.01,5.0,2024,68
1.0,10:19,3.0,2.0,CHI 43,0.0,0.0,Andy Dalton pass complete short right to Chuba Hubbard for 1 yard (tackle by T.J. Edwards),2.01,0.46,5.0,2024,68
1.0,9:40,4.0,1.0,CHI 42,0.0,0.0,Diontae Johnson left end for 4 yards (tackle by Jaquan Brisker),0.46,3.05,5.0,2024,68
1.0,9:01,1.0,10.0,CHI 38,6.0,0.0,"Chuba Hubbard left tackle for 38 yards, touchdown",3.05,7.0,5.0,2024,68
1.0,8:54,,,CHI 15,7.0,0.0,Eddy Pineiro kicks extra point good,0.0,0.0,5.0,2024,68
1.0,8:54,,,CAR 35,7.0,0.0,"Eddy Pineiro kicks off 65 yards, returned by DeAndre Carter for 30 yards (tackle by Jon Rhattigan)",0.0,0.94,5.0,2024,68
1.0,8:49,1.0,10.0,CHI 30,7.0,0.0,D'Andre Swift right tackle for 8 yards (tackle by Trevin Wallace and Jadeveon Clowney),0.94,1.47,5.0,2024,68
1.0,8:26,2.0,2.0,CHI 38,7.0,0.0,D'Andre Swift right guard for 3 yards (tackle by A'Shawn Robinson),1.47,1.66,5.0,2024,68
1.0,7:50,1.0,10.0,CHI 41,7.0,0.0,Caleb Williams pass complete short left to Rome Odunze for 11 yards (tackle by Trevin Wallace and Michael Jackson),1.66,2.39,5.0,2024,68
1.0,7:19,1.0,10.0,CAR 48,7.0,0.0,Caleb Williams pass complete short left to Keenan Allen for 3 yards (tackle by Xavier Woods),2.39,2.25,5.0,2024,68
1.0,6:45,2.0,7.0,CAR 45,7.0,0.0,D'Andre Swift left guard for 7 yards (tackle by Nick Scott and Troy Hill),2.25,3.05,5.0,2024,68
1.0,6:14,1.0,10.0,CAR 38,7.0,0.0,D'Andre Swift right tackle for 4 yards (tackle by LaBryan Ray and Chau Smith-Wade),3.05,3.05,5.0,2024,68
1.0,5:52,2.0,6.0,CAR 34,7.0,6.0,"Caleb Williams pass complete deep right to D.J. Moore for 34 yards, touchdown",3.05,7.0,5.0,2024,68
1.0,5:44,,,CAR 15,7.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,5.0,2024,68
1.0,5:44,,,CHI 35,7.0,7.0,"Cairo Santos kicks off 65 yards, touchback., touchback.",0.0,0.94,5.0,2024,68
1.0,5:44,1.0,10.0,CAR 30,7.0,7.0,Chuba Hubbard right guard for 5 yards (tackle by Tremaine Edmunds),0.94,1.07,5.0,2024,68
1.0,5:09,2.0,5.0,CAR 35,7.0,7.0,Chuba Hubbard left tackle for 6 yards (tackle by Tremaine Edmunds and Jack Sanborn),1.07,1.66,5.0,2024,68
1.0,4:32,1.0,10.0,CAR 41,7.0,7.0,Andy Dalton pass complete short middle to Ja'Tavion Sanders for -1 yards (tackle by Kevin Byard and Jaylon Johnson),1.66,0.99,5.0,2024,68
1.0,3:58,2.0,11.0,CAR 40,7.0,7.0,"Penalty on CAR: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.99,0.31,5.0,2024,68
1.0,3:44,2.0,16.0,CAR 35,7.0,7.0,Andy Dalton scrambles right end for 3 yards (tackle by Andrew Billings),0.31,0.04,5.0,2024,68
1.0,3:06,3.0,13.0,CAR 38,7.0,7.0,Andy Dalton sacked by and DeMarcus Walker for -3 yards and Gervon Dexter for -3 yards,0.04,-1.04,5.0,2024,68
1.0,2:22,4.0,16.0,CAR 35,7.0,7.0,"Johnny Hekker punts 65 yards, touchback.",-1.04,-0.28,5.0,2024,68
1.0,2:11,1.0,10.0,CHI 20,7.0,7.0,D'Andre Swift right tackle for 4 yards (tackle by Jadeveon Clowney),0.28,0.27,5.0,2024,68
1.0,1:41,2.0,6.0,CHI 24,7.0,7.0,Caleb Williams pass complete short right to D.J. Moore for 23 yards (tackle by Trevin Wallace),0.27,2.06,5.0,2024,68
1.0,1:03,1.0,10.0,CHI 47,7.0,7.0,D'Andre Swift right tackle for 4 yards (tackle by Jaycee Horn),2.06,2.06,5.0,2024,68
1.0,0:36,2.0,6.0,CAR 49,7.0,7.0,Caleb Williams scrambles right tackle for 6 yards (tackle by Shy Tuttle),2.06,2.72,5.0,2024,68
2.0,15:00,1.0,10.0,CAR 43,7.0,7.0,D'Andre Swift left guard for 2 yards (tackle by Claudin Cherelus),2.72,2.45,5.0,2024,68
2.0,14:40,2.0,8.0,CAR 41,7.0,7.0,D'Andre Swift left end for 18 yards (tackle by Trevin Wallace),2.45,4.04,5.0,2024,68
2.0,13:57,1.0,10.0,CAR 23,7.0,7.0,Caleb Williams pass complete short left to Rome Odunze for 6 yards (tackle by Jaycee Horn and Xavier Woods),4.04,4.38,5.0,2024,68
2.0,13:19,2.0,4.0,CAR 17,7.0,7.0,Caleb Williams scrambles right end for 5 yards (tackle by Trevin Wallace),4.38,4.78,5.0,2024,68
2.0,12:40,1.0,10.0,CAR 12,7.0,7.0,D'Andre Swift left tackle for 5 yards (tackle by Michael Jackson and Trevin Wallace),4.78,5.02,5.0,2024,68
2.0,12:01,2.0,5.0,CAR 7,7.0,7.0,Caleb Williams pass incomplete short left intended for Keenan Allen,5.02,4.16,5.0,2024,68
