Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,5.0,2024,72
1.0,15:00,,,NWE 35,0.0,0.0,"Joey Slye kicks off 58 yards, returned by Braxton Berrios for 19 yards (tackle by Christian Elliss)",0.0,0.67,5.0,2024,72
1.0,14:55,1.0,10.0,MIA 26,0.0,0.0,De'Von Achane up the middle for 4 yards (tackle by Raekwon McMillan),0.67,0.67,5.0,2024,72
1.0,14:25,2.0,6.0,MIA 30,0.0,0.0,Tyler Huntley pass complete deep middle to Tyreek Hill for 18 yards (tackle by Christian Gonzalez),0.67,2.13,5.0,2024,72
1.0,13:54,1.0,10.0,MIA 48,0.0,0.0,De'Von Achane up the middle for 2 yards (tackle by Anfernee Jennings and Daniel Ekuale),2.13,1.85,5.0,2024,72
1.0,13:22,2.0,8.0,NWE 50,0.0,0.0,Tyler Huntley pass complete short middle to Jonnu Smith for 8 yards (tackle by Jahlani Tavai and Raekwon McMillan),1.85,2.79,5.0,2024,72
1.0,12:42,1.0,10.0,NWE 42,0.0,0.0,Tyler Huntley sacked by and Anfernee Jennings for -7 yards and Daniel Ekuale for -7 yards,2.79,1.3,5.0,2024,72
1.0,12:02,2.0,17.0,NWE 49,0.0,0.0,Raheem Mostert up the middle for no gain (tackle by Jahlani Tavai and Daniel Ekuale),1.3,0.63,5.0,2024,72
1.0,11:24,3.0,17.0,NWE 49,0.0,0.0,Tyler Huntley pass complete short middle to Jonnu Smith for 13 yards (tackle by Christian Elliss and Marte Mapu),0.63,0.89,5.0,2024,72
1.0,10:44,4.0,4.0,NWE 36,3.0,0.0,Jason Sanders 54 yard field goal good,0.89,3.0,5.0,2024,72
1.0,10:39,,,MIA 35,3.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,72
1.0,10:39,1.0,10.0,NWE 30,3.0,0.0,Antonio Gibson right tackle for 7 yards (tackle by Jevon Holland),0.94,1.34,5.0,2024,72
1.0,9:58,2.0,3.0,NWE 37,3.0,0.0,Jacoby Brissett sacked by Emmanuel Ogbah for -3 yards,1.34,0.23,5.0,2024,72
1.0,9:15,3.0,6.0,NWE 34,3.0,0.0,Jacoby Brissett sacked by Zach Sieler for -9 yards,0.23,-1.7,5.0,2024,72
1.0,8:34,4.0,15.0,NWE 25,3.0,0.0,"Bryce Baringer punts 53 yards, fair catch by Braxton Berrios at MIA-22",-1.7,-0.41,5.0,2024,72
1.0,8:27,1.0,10.0,MIA 22,3.0,0.0,Jaylen Wright up the middle for 4 yards (tackle by Davon Godchaux and Daniel Ekuale),0.41,0.41,5.0,2024,72
1.0,7:52,2.0,6.0,MIA 26,3.0,0.0,Tyler Huntley pass complete short right to De'Von Achane for -1 yards (tackle by Daniel Ekuale),0.41,-0.43,5.0,2024,72
1.0,7:15,3.0,7.0,MIA 25,3.0,0.0,Tyler Huntley pass complete short left to Tyreek Hill for 6 yards (tackle by Jonathan Jones),-0.43,-1.31,5.0,2024,72
1.0,6:37,4.0,1.0,MIA 31,3.0,0.0,"Jake Bailey punts, returned by Marcus Jones for no gain (tackle by Tanner Conner) (no play)",-1.31,1.33,5.0,2024,72
1.0,6:22,1.0,10.0,MIA 36,3.0,0.0,Tyler Huntley pass incomplete short right intended for Jaylen Waddle,1.33,0.79,5.0,2024,72
1.0,6:19,2.0,10.0,MIA 36,3.0,0.0,Tyler Huntley pass short middle intended for Odell Beckham is intercepted by Christian Gonzalez at MIA-45 and returned for 2 yards (tackle by Malik Washington),0.79,-2.72,5.0,2024,72
1.0,6:11,1.0,10.0,MIA 43,3.0,0.0,Jacoby Brissett pass complete short left to Kendrick Bourne for 6 yards (tackle by Chop Robinson and Marcus Maye),2.72,2.99,5.0,2024,72
1.0,5:30,2.0,4.0,MIA 37,3.0,0.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Emmanuel Ogbah and Da'Shawn Hand),2.99,2.68,5.0,2024,72
1.0,4:48,3.0,1.0,MIA 34,3.0,0.0,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 1 yard (tackle by Anthony Walker and Jalen Ramsey),2.68,3.38,5.0,2024,72
1.0,4:04,1.0,10.0,MIA 33,3.0,6.0,"Rhamondre Stevenson right end for 33 yards, touchdown",3.38,7.0,5.0,2024,72
1.0,3:55,,,MIA 15,3.0,7.0,Joey Slye kicks extra point good,0.0,0.0,5.0,2024,72
1.0,3:55,,,NWE 35,3.0,7.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,72
1.0,3:55,1.0,10.0,MIA 30,3.0,7.0,Raheem Mostert left guard for 4 yards (tackle by Anfernee Jennings),0.94,0.93,5.0,2024,72
1.0,3:14,2.0,6.0,MIA 34,3.0,7.0,De'Von Achane right end for 12 yards (tackle by Jaylinn Hawkins),0.93,1.99,5.0,2024,72
1.0,2:41,1.0,10.0,MIA 46,3.0,7.0,Tyler Huntley pass complete deep left to Jaylen Waddle for 20 yards (tackle by Jaylinn Hawkins),1.99,3.31,5.0,2024,72
1.0,2:02,1.0,10.0,NWE 34,3.0,7.0,Tyler Huntley pass incomplete deep left intended for Durham Smythe,3.31,2.77,5.0,2024,72
1.0,1:55,2.0,10.0,NWE 34,3.0,7.0,Raheem Mostert right guard for 12 yards (tackle by Jaylinn Hawkins),2.77,4.11,5.0,2024,72
1.0,1:25,1.0,10.0,NWE 22,3.0,7.0,Raheem Mostert left guard for 2 yards (tackle by Daniel Ekuale),4.11,3.83,5.0,2024,72
1.0,0:50,2.0,8.0,NWE 20,3.0,7.0,Tyler Huntley pass incomplete short middle intended for Jaylen Waddle,3.83,3.14,5.0,2024,72
1.0,0:46,3.0,8.0,NWE 20,3.0,7.0,Tyler Huntley sacked by Josh Uche for -3 yards,3.14,1.93,5.0,2024,72
1.0,0:02,4.0,11.0,NWE 23,3.0,7.0,Jason Sanders 41 yard field goal no good,1.93,-1.0,5.0,2024,72
2.0,15:00,1.0,10.0,NWE 31,3.0,7.0,"Jacoby Brissett pass complete short middle to Antonio Gibson for no gain (tackle by Jordyn Brooks and David Long). Penalty on Demontrey Jacobs: Offensive Holding, 10 yards (accepted) (no play)",1.0,0.34,5.0,2024,72
2.0,14:36,1.0,20.0,NWE 21,3.0,7.0,Jacoby Brissett pass complete short middle to Austin Hooper for 9 yards (tackle by David Long and Marcus Maye),0.34,0.32,5.0,2024,72
2.0,14:01,2.0,11.0,NWE 30,3.0,7.0,Jacoby Brissett scrambles left end for 10 yards (tackle by Tyus Bowser and Jordyn Brooks),0.32,0.96,5.0,2024,72
2.0,13:27,3.0,1.0,NWE 40,3.0,7.0,"Penalty on Nick Leverett: False Start, 4 yards (accepted) (no play)",0.96,0.43,5.0,2024,72
2.0,13:06,3.0,5.0,NWE 36,3.0,7.0,Jacoby Brissett pass incomplete deep right intended for Ja'Lynn Polk,0.43,-0.98,5.0,2024,72
2.0,13:01,4.0,6.0,NWE 36,3.0,7.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",-0.98,-1.31,5.0,2024,72
2.0,13:01,4.0,11.0,NWE 31,3.0,7.0,"Bryce Baringer punts 69 yards, touchback.",-1.31,-0.28,5.0,2024,72
2.0,12:54,1.0,10.0,MIA 20,3.0,7.0,Raheem Mostert right end for 9 yards (tackle by Dell Pettus),0.28,0.95,5.0,2024,72
2.0,12:19,2.0,1.0,MIA 29,3.0,7.0,Raheem Mostert up the middle for 3 yards (tackle by Dell Pettus and Raekwon McMillan),0.95,1.07,5.0,2024,72
2.0,11:44,1.0,10.0,MIA 32,3.0,7.0,Tyler Huntley pass incomplete short middle intended for Tyreek Hill (defended by Davon Godchaux),1.07,0.53,5.0,2024,72
2.0,11:41,2.0,10.0,MIA 32,3.0,7.0,"Raheem Mostert up the middle for no gain (tackle by Dell Pettus). Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted) (no play)",0.53,-0.82,5.0,2024,72
2.0,11:22,2.0,20.0,MIA 22,3.0,7.0,"Tyler Huntley pass complete short left to Tyreek Hill for 4 yards (tackle by Marcus Jones) Penalty on MIA: Illegal Shift, 5 yards (declined)",-0.82,-0.96,5.0,2024,72
2.0,10:56,3.0,16.0,MIA 26,3.0,7.0,"Tyler Huntley pass complete short middle to Jaylen Waddle for 5 yards (tackle by Marcus Jones and Josh Uche). Penalty on Malik Washington: Illegal Blindside Block, 15 yards (declined)",-0.96,-1.31,5.0,2024,72
