Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Colts to receive the opening kickoff.",,,5.0,2024,71
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 65 yards, returned by Tyler Goodson for 29 yards (tackle by Caleb Johnson and Tanner Muse)",0.0,0.87,5.0,2024,71
1.0,14:54,1.0,10.0,IND 29,0.0,0.0,Joe Flacco pass complete short right to Josh Downs for 13 yards (tackle by Antonio Johnson),0.87,1.73,5.0,2024,71
1.0,14:44,1.0,10.0,IND 42,0.0,0.0,Joe Flacco pass complete short middle to Mo Alie-Cox for 19 yards (tackle by Antonio Johnson and Andre Cisco),1.73,2.98,5.0,2024,71
1.0,14:19,1.0,10.0,JAX 39,0.0,0.0,"Joe Flacco pass complete deep middle to Josh Downs for 20 yards (tackle by Antonio Johnson). Penalty on Josh Downs: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",2.98,3.31,5.0,2024,71
1.0,13:55,1.0,10.0,JAX 34,0.0,0.0,Joe Flacco pass complete short left to Adonai Mitchell for 9 yards (tackle by Ventrell Miller and Devin Lloyd),3.31,3.99,5.0,2024,71
1.0,13:21,2.0,1.0,JAX 25,0.0,0.0,Trey Sermon up the middle for 6 yards (tackle by Chad Muma),3.99,4.31,5.0,2024,71
1.0,12:44,1.0,10.0,JAX 19,0.0,0.0,Joe Flacco pass complete short left to Trey Sermon for 3 yards (tackle by Devin Lloyd),4.31,4.18,5.0,2024,71
1.0,12:12,2.0,7.0,JAX 16,0.0,0.0,Trey Sermon up the middle for 1 yard (tackle by Arik Armstead and Montaric Brown),4.18,3.58,5.0,2024,71
1.0,11:33,3.0,6.0,JAX 15,0.0,0.0,Joe Flacco pass complete short middle to Josh Downs for 10 yards (tackle by Antonio Johnson),3.58,6.06,5.0,2024,71
1.0,11:09,1.0,5.0,JAX 5,0.0,0.0,Trey Sermon up the middle for 4 yards (tackle by Andre Cisco),6.06,5.91,5.0,2024,71
1.0,10:30,2.0,1.0,JAX 1,0.0,0.0,Trey Sermon up the middle for no gain (tackle by Jeremiah Ledbetter and Antonio Johnson),5.91,5.17,5.0,2024,71
1.0,9:50,3.0,1.0,JAX 1,0.0,0.0,Trey Sermon up the middle for no gain (tackle by Chad Muma and Devin Lloyd),5.17,3.55,5.0,2024,71
1.0,8:54,4.0,1.0,JAX 1,6.0,0.0,"Joe Flacco pass complete short left to Michael Pittman for 1 yard, touchdown",3.55,7.0,5.0,2024,71
1.0,8:49,,,JAX 15,7.0,0.0,Matt Gay kicks extra point good,0.0,0.0,5.0,2024,71
1.0,8:49,,,IND 35,7.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,71
1.0,8:49,1.0,10.0,JAX 30,7.0,0.0,Trevor Lawrence pass complete short right to Gabriel Davis for 7 yards (tackle by Samuel Womack),0.94,1.34,5.0,2024,71
1.0,8:19,2.0,3.0,JAX 37,7.0,0.0,Travis Etienne up the middle for 2 yards (tackle by Laiatu Latu),1.34,0.89,5.0,2024,71
1.0,7:39,3.0,1.0,JAX 39,7.0,0.0,Trevor Lawrence up the middle for 2 yards (tackle by Grover Stewart),0.89,1.66,5.0,2024,71
1.0,6:59,1.0,10.0,JAX 41,7.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 13 yards (tackle by E.J. Speed),1.66,2.52,5.0,2024,71
1.0,6:18,1.0,10.0,IND 46,7.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 12 yards (tackle by Nick Cross),2.52,3.31,5.0,2024,71
1.0,5:39,1.0,10.0,IND 34,7.0,0.0,Tank Bigsby up the middle for 3 yards (tackle by Grover Stewart),3.31,3.18,5.0,2024,71
1.0,5:10,2.0,7.0,IND 31,7.0,0.0,Tank Bigsby left end for 1 yard (tackle by Laiatu Latu),3.18,2.61,5.0,2024,71
1.0,4:27,3.0,6.0,IND 30,7.0,0.0,Trevor Lawrence pass complete short left to Brenton Strange for 4 yards (tackle by E.J. Speed and Laiatu Latu),2.61,1.86,5.0,2024,71
1.0,3:40,4.0,2.0,IND 26,7.0,0.0,Trevor Lawrence pass incomplete short left intended for Brian Thomas (defended by Jaylon Jones),1.86,-0.67,5.0,2024,71
1.0,3:37,1.0,10.0,IND 26,7.0,0.0,Joe Flacco pass complete deep right to Adonai Mitchell for 18 yards (tackle by Ronald Darby),0.67,1.86,5.0,2024,71
1.0,2:59,1.0,10.0,IND 44,7.0,0.0,Joe Flacco pass complete short right to Josh Downs for 3 yards (tackle by Ventrell Miller),1.86,1.72,5.0,2024,71
1.0,2:34,2.0,7.0,IND 47,7.0,0.0,Joe Flacco pass incomplete short right intended for Michael Pittman (defended by Ronald Darby),1.72,1.03,5.0,2024,71
1.0,2:28,3.0,7.0,IND 47,7.0,0.0,Joe Flacco pass complete short left to Adonai Mitchell for 1 yard (tackle by Andre Cisco),1.03,-0.19,5.0,2024,71
1.0,1:49,4.0,6.0,IND 48,7.0,0.0,"Rigoberto Sanchez punts 41 yards, fair catch by Devin Duvernay at JAC-11",-0.19,0.37,5.0,2024,71
1.0,1:43,1.0,10.0,JAX 11,7.0,0.0,Trevor Lawrence pass complete short middle to Travis Etienne for 14 yards (tackle by Zaire Franklin and Jaylon Carlies),-0.37,0.61,5.0,2024,71
1.0,1:14,1.0,10.0,JAX 25,7.0,0.0,"Travis Etienne up the middle for 3 yards (tackle by Zaire Franklin and Raekwon Davis). Penalty on Adetomiwa Adebawore: Defensive Holding, 5 yards (accepted)",0.61,1.14,5.0,2024,71
1.0,0:55,1.0,10.0,JAX 33,7.0,0.0,Trevor Lawrence pass complete short middle to Brenton Strange for 4 yards (tackle by Zaire Franklin and Nick Cross),1.14,1.13,5.0,2024,71
1.0,0:25,2.0,6.0,JAX 37,7.0,0.0,Tank Bigsby up the middle for 2 yards (tackle by Samuel Womack and Zaire Franklin),1.13,0.7,5.0,2024,71
2.0,15:00,3.0,4.0,JAX 39,7.0,0.0,"Penalty on Brenton Strange: False Start, 5 yards (accepted) (no play)",0.7,0.04,5.0,2024,71
2.0,15:00,3.0,9.0,JAX 34,7.0,0.0,Trevor Lawrence pass complete short left to Brian Thomas for 8 yards (tackle by Julian Blackmon),0.04,-0.59,5.0,2024,71
2.0,14:16,4.0,1.0,JAX 42,7.0,0.0,Trevor Lawrence up the middle for 2 yards (tackle by Zaire Franklin and Grover Stewart),-0.59,1.86,5.0,2024,71
2.0,13:39,1.0,10.0,JAX 44,7.0,0.0,Travis Etienne up the middle for 4 yards (tackle by Zaire Franklin and Dayo Odeyingbo),1.86,1.86,5.0,2024,71
2.0,13:01,2.0,6.0,JAX 48,7.0,0.0,Trevor Lawrence pass complete short right to Tank Bigsby for 28 yards (tackle by Julian Blackmon),1.86,3.97,5.0,2024,71
2.0,12:17,1.0,10.0,IND 24,7.0,0.0,Trevor Lawrence pass complete short left to Christian Kirk for 8 yards (tackle by Jaylon Jones),3.97,4.65,5.0,2024,71
2.0,11:41,2.0,2.0,IND 16,7.0,0.0,Travis Etienne up the middle for 3 yards (tackle by Laiatu Latu and E.J. Speed),4.65,4.71,5.0,2024,71
2.0,11:01,1.0,10.0,IND 13,7.0,0.0,Devin Duvernay left end for 3 yards (tackle by Jaylon Jones),4.71,4.58,5.0,2024,71
2.0,10:24,2.0,7.0,IND 10,7.0,0.0,Trevor Lawrence pass complete short left to Luke Farrell for 6 yards (tackle by E.J. Speed and Nick Cross),4.58,5.01,5.0,2024,71
2.0,9:39,3.0,1.0,IND 4,7.0,0.0,Tank Bigsby up the middle for -1 yards (tackle by Grover Stewart),5.01,3.03,5.0,2024,71
2.0,8:59,4.0,2.0,IND 5,7.0,3.0,Cam Little 23 yard field goal good,3.03,3.0,5.0,2024,71
2.0,8:57,,,JAX 35,7.0,3.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,71
2.0,8:57,1.0,10.0,IND 30,7.0,3.0,Joe Flacco pass complete short left to Trey Sermon for 3 yards (tackle by Devin Lloyd),0.94,0.8,5.0,2024,71
2.0,8:26,2.0,7.0,IND 33,7.0,3.0,Joe Flacco pass incomplete short left intended for Josh Downs,0.8,0.1,5.0,2024,71
2.0,8:14,3.0,7.0,IND 33,7.0,3.0,"Joe Flacco pass complete short middle to Trey Sermon for no gain (tackle by Antonio Johnson and Montaric Brown) JAX challenged the first down ruling, and the original play was overturned. Joe Flacco pass complete short middle to Trey Sermon for 6 yards (tackle by Antonio Johnson and Montaric Brown)",0.1,-0.78,5.0,2024,71
2.0,7:37,4.0,1.0,IND 39,7.0,3.0,"Penalty on Will Fries: False Start, 4 yards (accepted) (no play)",-0.78,-1.04,5.0,2024,71
2.0,7:24,4.0,5.0,IND 35,7.0,3.0,"Rigoberto Sanchez punts 60 yards, returned by Devin Duvernay for 10 yards (tackle by Segun Olubi and Andrew Ogletree)",-1.04,0.22,5.0,2024,71
2.0,7:12,1.0,10.0,JAX 15,7.0,9.0,"Trevor Lawrence pass complete deep right to Brian Thomas for 85 yards, touchdown",-0.22,7.0,5.0,2024,71
2.0,7:02,,,IND 15,7.0,10.0,Cam Little kicks extra point good,0.0,0.0,5.0,2024,71
2.0,7:02,,,JAX 35,7.0,10.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,5.0,2024,71
2.0,7:02,1.0,10.0,IND 30,7.0,10.0,Trey Sermon left end for 4 yards (tackle by DaVon Hamilton),0.94,0.93,5.0,2024,71
2.0,6:23,2.0,6.0,IND 34,7.0,10.0,Tyler Goodson right end for 3 yards (tackle by Antonio Johnson),0.93,0.63,5.0,2024,71
2.0,5:42,3.0,3.0,IND 37,7.0,10.0,Joe Flacco pass complete short middle to Will Mallory for 7 yards (tackle by Andre Cisco),0.63,1.86,5.0,2024,71
2.0,5:18,1.0,10.0,IND 44,7.0,10.0,Joe Flacco pass complete short middle to Josh Downs for 2 yards (tackle by Montaric Brown),1.86,1.59,5.0,2024,71
2.0,4:39,2.0,8.0,IND 46,7.0,10.0,Joe Flacco pass complete short middle to Tyler Goodson for 5 yards (tackle by Montaric Brown and Devin Lloyd),1.59,1.55,5.0,2024,71
2.0,3:59,3.0,3.0,JAX 49,7.0,10.0,Tyler Goodson up the middle for 17 yards (tackle by Antonio Johnson),1.55,3.45,5.0,2024,71
2.0,3:34,1.0,10.0,JAX 32,7.0,10.0,Joe Flacco sacked by Josh Hines-Allen for -4 yards,3.45,2.36,5.0,2024,71
2.0,3:00,2.0,14.0,JAX 36,7.0,10.0,Adonai Mitchell pass complete short left to Tyler Goodson for 24 yards (tackle by Montaric Brown),2.36,4.78,5.0,2024,71
2.0,2:11,1.0,10.0,JAX 12,7.0,10.0,Tyler Goodson left end for no gain (tackle by Darnell Savage and DaVon Hamilton),4.78,4.1,5.0,2024,71
