Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles,Unnamed: 28_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Foyesade Oluokun,27.0,JAX,LILB,17.0,17.0,0.0,90.0,71.0,78.9,561.0,7.9,6.2,1.0,96.3,3.4,187.0,374.0,39.0,0.0,7.0,0.0,2.0,9.0,184.0,10.0,5.2,
2.0,Nick Bolton,22.0,KAN,LLB,17.0,17.0,2.0,74.0,61.0,82.4,580.0,9.5,7.8,1.0,92.6,3.7,214.0,366.0,37.0,1.0,4.0,1.0,2.0,7.0,180.0,7.0,3.7,
3.0,Roquan Smith,25.0,2TM,MLB,17.0,17.0,3.0,69.0,49.0,71.0,419.0,8.6,6.1,2.0,78.1,4.4,153.0,266.0,32.0,5.0,0.0,0.0,4.5,10.0,169.0,8.0,4.5,"PB,AP-1"
3.0,Roquan Smith,25.0,CHI,MLB,8.0,8.0,2.0,33.0,24.0,72.7,203.0,8.5,6.2,1.0,73.2,6.3,99.0,104.0,13.0,2.0,0.0,0.0,2.5,5.0,83.0,4.0,4.6,
3.0,Roquan Smith,25.0,BAL,MLB,9.0,9.0,1.0,36.0,25.0,69.4,216.0,8.6,6.0,1.0,82.6,2.6,54.0,162.0,19.0,3.0,0.0,0.0,2.0,5.0,86.0,4.0,4.4,
4.0,Zaire Franklin,26.0,IND,RLB/MLB,17.0,17.0,0.0,73.0,55.0,75.3,459.0,8.3,6.3,0.0,91.1,2.9,102.0,357.0,28.0,0.0,2.0,0.0,3.0,6.0,167.0,17.0,9.2,
5.0,Alex Singleton,29.0,DEN,RILB,17.0,12.0,0.0,77.0,59.0,76.6,425.0,7.2,5.5,2.0,97.6,3.3,124.0,301.0,42.0,5.0,3.0,2.0,0.0,8.0,163.0,7.0,4.1,
6.0,Jordyn Brooks,25.0,SEA,LILB,16.0,16.0,0.0,75.0,54.0,72.0,689.0,12.8,9.2,5.0,122.6,5.0,194.0,495.0,17.0,3.0,2.0,0.0,1.0,6.0,161.0,11.0,6.4,
7.0,T.J. Edwards,26.0,PHI,RLB,17.0,17.0,0.0,76.0,53.0,69.7,400.0,7.5,5.3,0.0,82.1,2.6,79.0,321.0,23.0,4.0,3.0,0.0,2.0,9.0,159.0,11.0,6.5,
8.0,Rashaan Evans,27.0,ATL,LLB,17.0,17.0,0.0,58.0,45.0,77.6,480.0,10.7,8.3,2.0,112.6,6.5,276.0,204.0,31.0,1.0,1.0,1.0,2.0,4.0,159.0,3.0,1.9,
9.0,C.J. Mosley,30.0,NYJ,RILB,17.0,17.0,1.0,87.0,57.0,65.5,643.0,11.3,7.4,3.0,94.2,5.7,278.0,365.0,13.0,1.0,2.0,0.0,1.0,4.0,158.0,7.0,4.2,"PB,AP-2"
10.0,Bobby Okereke,26.0,IND,LLB,17.0,16.0,0.0,82.0,58.0,70.7,515.0,8.9,6.3,1.0,91.3,4.0,130.0,385.0,21.0,1.0,0.0,0.0,0.0,1.0,151.0,11.0,6.8,
