Quarter,Time,Tm,Detail,KAN,LAC,week,year,game_id
1.0,4:56,Chiefs,Mike Edwards 97 yard fumble return (Harrison Butker kick),7,0,18.0,2023,269
2.0,4:03,Chiefs,Harrison Butker 22 yard field goal,10,0,18.0,2023,269
,2:43,Chargers,Cameron Dicker 49 yard field goal,10,3,18.0,2023,269
,0:00,Chargers,Cameron Dicker 40 yard field goal,10,6,18.0,2023,269
3.0,4:11,Chargers,Cameron Dicker 43 yard field goal,10,9,18.0,2023,269
4.0,4:06,Chargers,Cameron Dicker 20 yard field goal,10,12,18.0,2023,269
,0:49,Chiefs,Harrison Butker 41 yard field goal,13,12,18.0,2023,269
