Unnamed: 0,CHI,GNB,week,year,game_id
First Downs,13,24,18.0,2023,265
Rush-Yds-TDs,25-75-0,27-124-0,18.0,2023,265
Cmp-Att-Yd-TD-INT,11-16-148-0-0,27-32-316-2-0,18.0,2023,265
Sacked-Yards,5-31,1-8,18.0,2023,265
Net Pass Yards,117,308,18.0,2023,265
Total Yards,192,432,18.0,2023,265
Fumbles-Lost,0-0,1-1,18.0,2023,265
Turnovers,0,1,18.0,2023,265
Penalties-Yards,1-10,1-5,18.0,2023,265
Third Down Conv.,3-11,7-10,18.0,2023,265
Fourth Down Conv.,1-1,0-0,18.0,2023,265
Time of Possession,28:36,31:24,18.0,2023,265
