Quarter,Time,Tm,Detail,DEN,LVR,week,year,game_id
1.0,1:44,Raiders,Jakobi Meyers 5 yard rush (Daniel Carlson kick),0,7,18.0,2023,268
2.0,10:34,Broncos,Jerry Jeudy 24 yard pass from Jarrett Stidham (Wil Lutz kick),7,7,18.0,2023,268
,7:09,Raiders,Daniel Carlson 49 yard field goal,7,10,18.0,2023,268
,0:07,Raiders,Davante Adams 3 yard pass from Aidan O'Connell (Daniel Carlson kick),7,17,18.0,2023,268
4.0,14:53,Raiders,Jakobi Meyers 33 yard pass from Aidan O'Connell (Daniel Carlson kick),7,24,18.0,2023,268
,10:09,Broncos,Javonte Williams 2 yard rush (Wil Lutz kick),14,24,18.0,2023,268
,2:20,Raiders,Daniel Carlson 21 yard field goal,14,27,18.0,2023,268
