Unnamed: 0,LAR,SFO,week,year,game_id
First Downs,19,20,18.0,2023,271
Rush-Yds-TDs,36-109-1,29-125-2,18.0,2023,271
Cmp-Att-Yd-TD-INT,17-24-163-2-1,16-26-189-1-0,18.0,2023,271
Sacked-Yards,2-14,3-14,18.0,2023,271
Net Pass Yards,149,175,18.0,2023,271
Total Yards,258,300,18.0,2023,271
Fumbles-Lost,0-0,2-1,18.0,2023,271
Turnovers,1,1,18.0,2023,271
Penalties-Yards,2-8,5-78,18.0,2023,271
Third Down Conv.,9-15,5-10,18.0,2023,271
Fourth Down Conv.,3-4,1-1,18.0,2023,271
Time of Possession,31:00,29:00,18.0,2023,271
