Quarter,Time,Tm,Detail,PHI,NYG,week,year,game_id
1.0,6:54,Giants,Mason Crosby 24 yard field goal,0,3,18.0,2023,270
2.0,9:38,Giants,Saquon Barkley 2 yard rush (Mason Crosby kick),0,10,18.0,2023,270
,5:08,Giants,Saquon Barkley 3 yard rush (Mason Crosby kick),0,17,18.0,2023,270
,1:47,Giants,Darius Slayton 19 yard pass from Tyrod Taylor (Mason Crosby kick),0,24,18.0,2023,270
3.0,1:11,Eagles,Jake Elliott 36 yard field goal,3,24,18.0,2023,270
4.0,10:15,Eagles,Quez Watkins 16 yard pass from Marcus Mariota (Jake Elliott kick),10,24,18.0,2023,270
,3:39,Giants,Mason Crosby 21 yard field goal,10,27,18.0,2023,270
