Unnamed: 0,CLE,CIN,week,year,game_id
First Downs,13,22,18.0,2023,261
Rush-Yds-TDs,24-104-0,30-183-1,18.0,2023,261
Cmp-Att-Yd-TD-INT,13-26-166-2-2,21-28-176-3-1,18.0,2023,261
Sacked-Yards,3-26,3-31,18.0,2023,261
Net Pass Yards,140,145,18.0,2023,261
Total Yards,244,328,18.0,2023,261
Fumbles-Lost,0-0,1-0,18.0,2023,261
Turnovers,2,1,18.0,2023,261
Penalties-Yards,7-35,1-10,18.0,2023,261
Third Down Conv.,2-11,3-12,18.0,2023,261
Fourth Down Conv.,1-1,0-0,18.0,2023,261
Time of Possession,24:14,35:46,18.0,2023,261
