Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,18.0,2023,260
1.0,15:00,,,CAR 35,0.0,0.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,260
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 7 yards (tackle by Donte Jackson),0.61,1.01,18.0,2023,260
1.0,14:30,2.0,3.0,TAM 32,0.0,0.0,Baker Mayfield pass complete short left to Mike Evans for 9 yards (tackle by Donte Jackson),1.01,1.66,18.0,2023,260
1.0,13:56,1.0,10.0,TAM 41,0.0,0.0,Baker Mayfield pass complete short middle to Deven Thompkins for 1 yard (tackle by Yetur Gross-Matos),1.66,1.26,18.0,2023,260
1.0,13:23,2.0,9.0,TAM 42,0.0,0.0,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by Jaycee Horn),1.26,0.56,18.0,2023,260
1.0,13:18,3.0,9.0,TAM 42,0.0,0.0,Baker Mayfield pass complete short left to Cade Otton for 10 yards (tackle by Donte Jackson),0.56,2.39,18.0,2023,260
1.0,12:42,1.0,10.0,CAR 48,0.0,0.0,Rachaad White left guard for 1 yard (tackle by Derrick Brown),2.39,1.98,18.0,2023,260
1.0,12:00,2.0,9.0,CAR 47,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Deion Jones),1.98,1.29,18.0,2023,260
1.0,11:54,3.0,9.0,CAR 47,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Mike Evans,1.29,0.13,18.0,2023,260
1.0,11:49,4.0,9.0,CAR 47,0.0,0.0,"Jake Camarda punts 36 yards, returned by Ihmir Smith-Marsette for 14 yards (tackle by J.J. Russell)",0.13,-0.61,18.0,2023,260
1.0,11:40,1.0,10.0,CAR 25,0.0,0.0,Chuba Hubbard left end for no gain (tackle by Calijah Kancey),0.61,0.06,18.0,2023,260
1.0,11:04,2.0,10.0,CAR 25,0.0,0.0,Chuba Hubbard left guard for 12 yards (tackle by Ryan Neal),0.06,1.4,18.0,2023,260
1.0,10:27,1.0,10.0,CAR 37,0.0,0.0,Bryce Young pass incomplete short right intended for Stephen Sullivan,1.4,0.86,18.0,2023,260
1.0,10:22,2.0,10.0,CAR 37,0.0,0.0,Raheem Blackshear left end for 6 yards (tackle by Lavonte David),0.86,0.96,18.0,2023,260
1.0,9:39,3.0,4.0,CAR 43,0.0,0.0,Bryce Young sacked by YaYa Diaby for -8 yards,0.96,-1.04,18.0,2023,260
1.0,8:56,4.0,12.0,CAR 35,0.0,0.0,"Johnny Hekker punts 43 yards, fair catch by Deven Thompkins at TB-22",-1.04,-0.41,18.0,2023,260
1.0,8:50,1.0,10.0,TAM 22,0.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Donte Jackson),0.41,0.81,18.0,2023,260
1.0,8:04,2.0,3.0,TAM 29,0.0,0.0,Rachaad White left tackle for 5 yards (tackle by Vonn Bell and Donte Jackson),0.81,1.2,18.0,2023,260
1.0,7:20,1.0,10.0,TAM 34,0.0,0.0,Rachaad White right guard for no gain (tackle by Nick Thurman),1.2,0.66,18.0,2023,260
1.0,6:39,2.0,10.0,TAM 34,0.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 5 yards (tackle by Jaycee Horn),0.66,0.63,18.0,2023,260
1.0,5:58,3.0,5.0,TAM 39,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Mike Evans (defended by Xavier Woods),0.63,-0.78,18.0,2023,260
1.0,5:50,4.0,5.0,TAM 39,0.0,0.0,"Jake Camarda punts 61 yards, touchback.",-0.78,-0.28,18.0,2023,260
1.0,5:41,1.0,10.0,CAR 20,0.0,0.0,Bryce Young pass complete short left to Chuba Hubbard for 8 yards (tackle by Jamel Dean),0.28,0.81,18.0,2023,260
1.0,5:07,2.0,2.0,CAR 28,0.0,0.0,Chuba Hubbard up the middle for 6 yards (tackle by Ryan Neal),0.81,1.2,18.0,2023,260
1.0,4:32,1.0,10.0,CAR 34,0.0,0.0,Chuba Hubbard left end for 6 yards (tackle by Logan Hall and Lavonte David),1.2,1.47,18.0,2023,260
1.0,3:55,2.0,4.0,CAR 40,0.0,0.0,Chuba Hubbard left tackle for no gain (tackle by Vita Vea),1.47,0.76,18.0,2023,260
1.0,3:17,3.0,4.0,CAR 40,0.0,0.0,Chuba Hubbard left tackle for -3 yards (tackle by Devin White),0.76,-0.91,18.0,2023,260
1.0,2:40,4.0,7.0,CAR 37,0.0,0.0,Johnny Hekker punts 39 yards out of bounds,-0.91,-0.54,18.0,2023,260
1.0,2:34,1.0,10.0,TAM 24,0.0,0.0,Chase Edmonds left tackle for 8 yards (tackle by Derrick Brown),0.54,1.08,18.0,2023,260
1.0,1:57,2.0,2.0,TAM 32,0.0,0.0,Chris Godwin right end for 4 yards (tackle by Kamu Grugier-Hill),1.08,1.33,18.0,2023,260
1.0,1:14,1.0,10.0,TAM 36,0.0,0.0,"Baker Mayfield pass incomplete short left intended for Chris Godwin. Penalty on Aaron Stinnie: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.33,1.0,18.0,2023,260
1.0,1:14,1.0,15.0,TAM 31,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Trey Palmer,1.0,0.12,18.0,2023,260
1.0,1:08,2.0,15.0,TAM 31,0.0,0.0,"Baker Mayfield pass complete short middle to Trey Palmer for 4 yards. Trey Palmer fumbles (forced by Frankie Luvu), recovered by Robert Hainsey at TB-37 and returned for 2 yards (tackle by Xavier Woods)",0.12,0.23,18.0,2023,260
1.0,0:25,3.0,9.0,TAM 37,0.0,0.0,Baker Mayfield sacked by Yetur Gross-Matos for -7 yards,0.23,-1.37,18.0,2023,260
1.0,0:18,,,,,,Timeout #1 by Carolina Panthers,,,18.0,2023,260
1.0,0:18,4.0,16.0,TAM 30,0.0,0.0,Jake Camarda punts 40 yards downed by David Moore,-1.37,-0.94,18.0,2023,260
1.0,0:07,1.0,10.0,CAR 30,0.0,0.0,Chuba Hubbard right tackle for 3 yards (tackle by Lavonte David and Carlton Davis),0.94,0.8,18.0,2023,260
2.0,15:00,2.0,7.0,CAR 33,0.0,0.0,"Bryce Young sacked by Shaquil Barrett for no gain. Penalty on Lavonte David: Defensive Holding, 5 yards (accepted) (no play)",0.8,1.47,18.0,2023,260
