Unnamed: 0,MIN,DET,week,year,game_id
First Downs,24,19,18.0,2023,262
Rush-Yds-TDs,22-89-0,23-70-2,18.0,2023,262
Cmp-Att-Yd-TD-INT,30-44-396-2-2,23-32-320-2-0,18.0,2023,262
Sacked-Yards,4-37,1-9,18.0,2023,262
Net Pass Yards,359,311,18.0,2023,262
Total Yards,448,381,18.0,2023,262
Fumbles-Lost,0-0,0-0,18.0,2023,262
Turnovers,2,0,18.0,2023,262
Penalties-Yards,8-77,4-20,18.0,2023,262
Third Down Conv.,2-13,1-9,18.0,2023,262
Fourth Down Conv.,2-3,2-2,18.0,2023,262
Time of Possession,34:59,25:01,18.0,2023,262
