Unnamed: 0,TAM,CAR,week,year,game_id
First Downs,14,11,18.0,2023,260
Rush-Yds-TDs,29-113-0,29-131-0,18.0,2023,260
Cmp-Att-Yd-TD-INT,20-32-137-0-0,11-18-94-0-0,18.0,2023,260
Sacked-Yards,3-22,3-26,18.0,2023,260
Net Pass Yards,115,68,18.0,2023,260
Total Yards,228,199,18.0,2023,260
Fumbles-Lost,1-0,2-2,18.0,2023,260
Turnovers,0,2,18.0,2023,260
Penalties-Yards,3-15,3-20,18.0,2023,260
Third Down Conv.,6-16,2-12,18.0,2023,260
Fourth Down Conv.,0-0,2-2,18.0,2023,260
Time of Possession,31:24,28:36,18.0,2023,260
