Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Broncos to receive the opening kickoff.",,,18.0,2023,268
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 68 yards, returned by Marvin Mims for 35 yards (tackle by Isaiah Pola-Mao)",0.0,1.07,18.0,2023,268
1.0,14:54,1.0,10.0,DEN 32,0.0,0.0,Jarrett Stidham pass incomplete short right intended for Javonte Williams,1.07,0.53,18.0,2023,268
1.0,14:48,2.0,10.0,DEN 32,0.0,0.0,Jaleel McLaughlin left end for -1 yards (tackle by Divine Deablo and Robert Spillane),0.53,-0.29,18.0,2023,268
1.0,14:06,3.0,11.0,DEN 31,0.0,0.0,Jarrett Stidham pass incomplete short left intended for Courtland Sutton,-0.29,-1.31,18.0,2023,268
1.0,14:00,4.0,11.0,DEN 31,0.0,0.0,Riley Dixon punts 48 yards out of bounds,-1.31,-0.34,18.0,2023,268
1.0,13:51,1.0,10.0,LVR 21,0.0,0.0,Aidan O'Connell sacked by Baron Browning for -6 yards,0.34,-1.14,18.0,2023,268
1.0,13:14,2.0,16.0,LVR 15,0.0,0.0,Aidan O'Connell pass incomplete short right intended for Davante Adams (defended by Patrick Surtain),-1.14,-1.96,18.0,2023,268
1.0,13:05,3.0,16.0,LVR 15,0.0,0.0,Aidan O'Connell pass complete short middle to Davante Adams for 8 yards (tackle by Patrick Surtain and Riley Moss),-1.96,-1.83,18.0,2023,268
1.0,12:24,4.0,8.0,LVR 23,0.0,0.0,AJ Cole punts 66 yards out of bounds,-1.83,0.37,18.0,2023,268
1.0,12:16,1.0,10.0,DEN 11,0.0,0.0,Javonte Williams up the middle for 7 yards (tackle by John Jenkins and Divine Deablo),-0.37,0.0,18.0,2023,268
1.0,11:39,2.0,3.0,DEN 18,0.0,0.0,Javonte Williams right tackle for 4 yards (tackle by John Jenkins and Robert Spillane),0.0,0.41,18.0,2023,268
1.0,10:53,1.0,10.0,DEN 22,0.0,0.0,Jarrett Stidham pass complete short right to Javonte Williams for 1 yard (tackle by Isaiah Pola-Mao),0.41,0.0,18.0,2023,268
1.0,10:09,2.0,9.0,DEN 23,0.0,0.0,Jarrett Stidham pass incomplete short right intended for Courtland Sutton,0.0,-0.69,18.0,2023,268
1.0,10:02,3.0,9.0,DEN 23,0.0,0.0,Jarrett Stidham pass incomplete short middle intended for Lil'Jordan Humphrey,-0.69,-1.83,18.0,2023,268
1.0,9:58,4.0,9.0,DEN 23,0.0,0.0,"Riley Dixon punts 59 yards, returned by DeAndre Carter for 4 yards (tackle by Mitchell Fraboni)",-1.83,-0.41,18.0,2023,268
1.0,9:47,1.0,10.0,LVR 22,0.0,0.0,Zamir White right guard for 4 yards (tackle by Josey Jewell and Alex Singleton),0.41,0.41,18.0,2023,268
1.0,9:08,2.0,6.0,LVR 26,0.0,0.0,Zamir White right tackle for 12 yards (tackle by Justin Simmons),0.41,1.47,18.0,2023,268
1.0,8:30,1.0,10.0,LVR 38,0.0,0.0,Aidan O'Connell pass complete short left to Zamir White for 9 yards (tackle by Josey Jewell),1.47,2.14,18.0,2023,268
1.0,7:47,2.0,1.0,LVR 47,0.0,0.0,Aidan O'Connell up the middle for 2 yards (tackle by Josey Jewell and Zach Allen),2.14,2.19,18.0,2023,268
1.0,7:01,1.0,10.0,LVR 49,0.0,0.0,"Penalty on Mike Purcell: Encroachment, 5 yards (accepted) (no play)",2.19,2.92,18.0,2023,268
1.0,6:43,1.0,5.0,DEN 46,0.0,0.0,Zamir White left tackle for 6 yards (tackle by Alex Singleton and Josey Jewell),2.92,2.92,18.0,2023,268
1.0,6:03,1.0,10.0,DEN 40,0.0,0.0,Zamir White left end for 2 yards (tackle by Josey Jewell and Drew Sanders),2.92,2.64,18.0,2023,268
1.0,5:17,2.0,8.0,DEN 38,0.0,0.0,Aidan O'Connell pass incomplete short right,2.64,1.95,18.0,2023,268
1.0,5:06,3.0,8.0,DEN 38,0.0,0.0,Aidan O'Connell pass complete short right to Tre Tucker for 10 yards,1.95,3.71,18.0,2023,268
1.0,4:29,1.0,10.0,DEN 28,0.0,0.0,Aidan O'Connell pass complete short right to Tre Tucker for 8 yards (tackle by Fabian Moreau),3.71,4.25,18.0,2023,268
1.0,3:48,2.0,2.0,DEN 20,0.0,0.0,Zamir White up the middle for 6 yards (tackle by D.J. Jones and Zach Allen),4.25,4.65,18.0,2023,268
