Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Browns to receive the opening kickoff.",,,18.0,2023,261
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 61 yards, returned by James Proche for 19 yards (tackle by Chase Brown)",0.0,0.48,18.0,2023,261
1.0,14:56,1.0,10.0,CLE 23,0.0,0.0,Pierre Strong left end for 4 yards (tackle by Daxton Hill),0.48,0.47,18.0,2023,261
1.0,14:13,2.0,6.0,CLE 27,0.0,0.0,Pierre Strong left tackle for 2 yards (tackle by B.J. Hill),0.47,0.04,18.0,2023,261
1.0,13:29,3.0,4.0,CLE 29,0.0,0.0,Jeff Driskel pass deep left intended for Cedric Tillman is intercepted by Jordan Battle at CIN-45 and returned for no gain,0.04,-1.93,18.0,2023,261
1.0,13:24,1.0,10.0,CIN 45,0.0,0.0,Joe Mixon up the middle for 16 yards (tackle by D'Anthony Bell and Ronnie Hickman),1.93,2.98,18.0,2023,261
1.0,12:39,1.0,10.0,CLE 39,0.0,0.0,Charlie Jones left end for 6 yards (tackle by D'Anthony Bell and Matthew Adams),2.98,3.25,18.0,2023,261
1.0,12:03,2.0,4.0,CLE 33,0.0,0.0,Jake Browning pass incomplete short right intended for Ja'Marr Chase,3.25,2.54,18.0,2023,261
1.0,11:59,3.0,4.0,CLE 33,0.0,0.0,Jake Browning pass short middle intended for Tyler Boyd is intercepted by D'Anthony Bell at CLE-22 and returned for 2 yards (tackle by Trenton Irwin),2.54,-0.54,18.0,2023,261
1.0,11:52,1.0,10.0,CLE 24,0.0,0.0,Jeff Driskel pass complete short right to David Bell for 2 yards (tackle by Germaine Pratt),0.54,0.27,18.0,2023,261
1.0,11:06,2.0,8.0,CLE 26,0.0,0.0,Jeff Driskel pass incomplete short left intended for James Proche (defended by DJ Turner),0.27,-0.43,18.0,2023,261
1.0,11:02,3.0,8.0,CLE 26,0.0,0.0,Jeff Driskel sacked by and B.J. Hill for -9 yards and Trey Hendrickson for -9 yards,-0.43,-2.32,18.0,2023,261
1.0,10:21,4.0,17.0,CLE 17,0.0,0.0,"Corey Bojorquez punts 58 yards, returned by Charlie Jones for 15 yards (tackle by Tony Fields)",-2.32,-1.6,18.0,2023,261
1.0,10:10,1.0,10.0,CIN 40,0.0,0.0,Chase Brown right end for 2 yards (tackle by Cameron Mitchell),1.6,1.32,18.0,2023,261
1.0,9:37,2.0,8.0,CIN 42,0.0,0.0,Chase Brown up the middle for -1 yards (tackle by Cameron Mitchell and Matthew Adams),1.32,0.5,18.0,2023,261
1.0,8:59,3.0,9.0,CIN 41,0.0,0.0,Jake Browning pass complete deep middle to Charlie Jones for 35 yards (tackle by Cameron Mitchell),0.5,3.97,18.0,2023,261
1.0,8:13,1.0,10.0,CLE 24,0.0,0.0,Jake Browning pass complete short left to Ja'Marr Chase for 11 yards (tackle by Kahlef Hailassie),3.97,4.71,18.0,2023,261
1.0,7:34,1.0,10.0,CLE 13,0.0,0.0,"Jake Browning pass incomplete short right. Penalty on Orlando Brown: Offensive Holding, 10 yards (accepted) (no play)",4.71,4.04,18.0,2023,261
1.0,7:26,1.0,20.0,CLE 23,0.0,0.0,Joe Mixon left guard for 13 yards (tackle by Ronnie Hickman and Tony Fields),4.04,4.58,18.0,2023,261
1.0,6:44,2.0,7.0,CLE 10,0.0,0.0,Joe Mixon left end for 9 yards (tackle by Tony Fields),4.58,6.97,18.0,2023,261
1.0,6:11,1.0,1.0,CLE 1,0.0,6.0,"Joe Mixon right end for 1 yard, touchdown",6.97,7.0,18.0,2023,261
1.0,6:07,,,CLE 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,18.0,2023,261
1.0,6:07,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,261
1.0,6:07,1.0,10.0,CLE 25,0.0,7.0,Pierre Strong right end for -3 yards (tackle by Mike Hilton),0.61,-0.34,18.0,2023,261
1.0,5:23,2.0,13.0,CLE 22,0.0,7.0,Pierre Strong left tackle for 1 yard (tackle by Mike Hilton),-0.34,-0.89,18.0,2023,261
1.0,4:38,3.0,12.0,CLE 23,0.0,7.0,Jeff Driskel pass complete short right to Jordan Akins for 3 yards (tackle by Nick Scott and Logan Wilson),-0.89,-1.63,18.0,2023,261
1.0,3:59,4.0,9.0,CLE 26,0.0,7.0,"Corey Bojorquez punts 41 yards, fair catch by Charlie Jones at CIN-33",-1.63,-1.14,18.0,2023,261
1.0,3:51,1.0,10.0,CIN 33,0.0,7.0,Joe Mixon right tackle for 44 yards (tackle by Vincent Gray),1.14,4.04,18.0,2023,261
