Unnamed: 0,SEA,ARI,week,year,game_id
First Downs,18,24,18.0,2023,266
Rush-Yds-TDs,25-138-0,38-206-1,18.0,2023,266
Cmp-Att-Yd-TD-INT,16-28-189-2-0,22-30-262-1-0,18.0,2023,266
Sacked-Yards,0-0,1-2,18.0,2023,266
Net Pass Yards,189,260,18.0,2023,266
Total Yards,327,466,18.0,2023,266
Fumbles-Lost,0-0,0-0,18.0,2023,266
Turnovers,0,0,18.0,2023,266
Penalties-Yards,0-0,5-27,18.0,2023,266
Third Down Conv.,6-12,5-13,18.0,2023,266
Fourth Down Conv.,0-0,2-2,18.0,2023,266
Time of Possession,23:57,36:03,18.0,2023,266
