Unnamed: 0,BUF,MIA,week,year,game_id
First Downs,26,16,18.0,2023,272
Rush-Yds-TDs,36-128-0,20-108-1,18.0,2023,272
Cmp-Att-Yd-TD-INT,30-38-359-2-2,17-27-173-1-2,18.0,2023,272
Sacked-Yards,3-14,1-6,18.0,2023,272
Net Pass Yards,345,167,18.0,2023,272
Total Yards,473,275,18.0,2023,272
Fumbles-Lost,1-1,0-0,18.0,2023,272
Turnovers,3,2,18.0,2023,272
Penalties-Yards,6-41,4-29,18.0,2023,272
Third Down Conv.,9-15,4-10,18.0,2023,272
Fourth Down Conv.,1-3,0-0,18.0,2023,272
Time of Possession,38:07,21:53,18.0,2023,272
