Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,,18.0,2023,262
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,262
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,David Montgomery left tackle for 4 yards (tackle by Jordan Hicks and Josh Metellus),0.61,0.6,18.0,2023,262
1.0,14:27,2.0,6.0,DET 29,0.0,0.0,Jared Goff pass incomplete short left,0.6,-0.1,18.0,2023,262
1.0,14:20,3.0,6.0,DET 29,0.0,0.0,Jared Goff pass incomplete short left intended for Sam LaPorta (defended by Josh Metellus),-0.1,-1.44,18.0,2023,262
1.0,14:16,4.0,6.0,DET 29,0.0,0.0,Jack Fox punts 61 yards downed by Khalil Dorsey,-1.44,0.38,18.0,2023,262
1.0,14:05,1.0,10.0,MIN 10,0.0,0.0,Nick Mullens pass complete short right to Josh Oliver for 11 yards (tackle by Jack Campbell),-0.38,0.34,18.0,2023,262
1.0,13:29,1.0,10.0,MIN 21,0.0,0.0,Ty Chandler right tackle for 2 yards (tackle by Derrick Barnes and Jack Campbell),0.34,0.07,18.0,2023,262
1.0,12:47,2.0,8.0,MIN 23,0.0,0.0,Ty Chandler right tackle for 9 yards (tackle by Ifeatu Melifonwu),0.07,1.07,18.0,2023,262
1.0,11:57,1.0,10.0,MIN 32,0.0,0.0,"Penalty on Nick Mullens: Delay of Game, 5 yards (accepted) (no play)",1.07,0.74,18.0,2023,262
1.0,11:45,1.0,15.0,MIN 27,0.0,0.0,Ty Chandler right end for 5 yards (tackle by Alex Anzalone),0.74,0.53,18.0,2023,262
1.0,11:06,2.0,10.0,MIN 32,0.0,0.0,Nick Mullens pass complete short left to K.J. Osborn for 6 yards (tackle by Ifeatu Melifonwu),0.53,0.63,18.0,2023,262
1.0,10:29,3.0,4.0,MIN 38,0.0,0.0,Nick Mullens pass incomplete short left intended for K.J. Osborn (defended by Josh Paschal),0.63,-0.85,18.0,2023,262
1.0,10:26,4.0,4.0,MIN 38,0.0,0.0,"Ryan Wright punts 56 yards, returned by Kalif Raymond for 42 yards (tackle by Andrew DePaola)",-0.85,-2.13,18.0,2023,262
1.0,10:07,1.0,10.0,DET 48,0.0,0.0,Jared Goff pass complete deep left to Amon-Ra St. Brown for 34 yards (tackle by Harrison Smith),2.13,4.37,18.0,2023,262
1.0,9:24,1.0,10.0,MIN 18,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Jordan Hicks and Patrick Jones),4.37,6.06,18.0,2023,262
1.0,8:43,1.0,5.0,MIN 5,0.0,0.0,David Montgomery up the middle for 3 yards (tackle by Jonathan Bullard),6.06,5.72,18.0,2023,262
1.0,8:10,2.0,2.0,MIN 2,0.0,6.0,"Jared Goff pass complete short left to Sam LaPorta for 2 yards, touchdown",5.72,7.0,18.0,2023,262
1.0,8:06,,,MIN 15,0.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,18.0,2023,262
1.0,8:06,,,DET 35,0.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,262
1.0,8:06,1.0,10.0,MIN 25,0.0,7.0,Nick Mullens sacked by Jack Campbell for -9 yards,0.61,-1.29,18.0,2023,262
1.0,7:22,2.0,19.0,MIN 16,0.0,7.0,"Alexander Mattison left tackle for 2 yards (tackle by Aidan Hutchinson). Penalty on Christian Darrisaw: Illegal Shift, 5 yards (declined)",-1.29,-1.72,18.0,2023,262
1.0,7:07,3.0,17.0,MIN 18,0.0,7.0,Nick Mullens pass complete short left to Alexander Mattison for 5 yards (tackle by Jalen Reeves-Maybin),-1.72,-1.83,18.0,2023,262
1.0,6:22,4.0,12.0,MIN 23,0.0,7.0,"Ryan Wright punts 57 yards, returned by Kalif Raymond for 16 yards (tackle by Nick Muse and Ivan Pace)",-1.83,-1.33,18.0,2023,262
1.0,6:05,1.0,10.0,DET 36,0.0,7.0,Jahmyr Gibbs left tackle for 2 yards (tackle by Jonathan Bullard and Ivan Pace),1.33,1.06,18.0,2023,262
1.0,5:30,2.0,8.0,DET 38,0.0,7.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Camryn Bynum),1.06,1.99,18.0,2023,262
1.0,4:55,1.0,10.0,DET 46,0.0,7.0,Jared Goff pass complete short left to Sam LaPorta for 8 yards (tackle by Andrew Booth),1.99,2.53,18.0,2023,262
1.0,4:13,2.0,2.0,MIN 46,0.0,7.0,Jahmyr Gibbs left tackle for 1 yard (tackle by Camryn Bynum and Ivan Pace),2.53,1.95,18.0,2023,262
1.0,3:29,3.0,1.0,MIN 45,0.0,7.0,Jared Goff pass incomplete short right intended for Sam LaPorta (defended by Harrison Smith),1.95,0.27,18.0,2023,262
1.0,3:22,4.0,1.0,MIN 45,0.0,7.0,Jahmyr Gibbs up the middle for 1 yard (tackle by Ivan Pace),0.27,2.65,18.0,2023,262
1.0,2:56,1.0,10.0,MIN 44,0.0,7.0,Jared Goff pass complete deep left to Kalif Raymond for 41 yards,2.65,6.51,18.0,2023,262
1.0,2:17,1.0,3.0,MIN 3,0.0,13.0,"Jahmyr Gibbs right end for 3 yards, touchdown",6.51,7.0,18.0,2023,262
1.0,2:12,,,MIN 15,0.0,13.0,Michael Badgley kicks extra point no good,0.0,-1.0,18.0,2023,262
1.0,2:12,,,DET 35,0.0,13.0,"Jack Fox kicks off 68 yards, returned by Kene Nwangwu for 23 yards (tackle by Jason Cabinda)",0.0,0.28,18.0,2023,262
1.0,2:07,1.0,10.0,MIN 20,0.0,13.0,Ty Chandler right end for 14 yards (tackle by C.J. Gardner-Johnson),0.28,1.2,18.0,2023,262
1.0,1:33,1.0,10.0,MIN 34,0.0,13.0,"Ty Chandler right end for no gain (tackle by Kerby Joseph). Penalty on Garrett Bradbury: Offensive Holding, 10 yards (accepted) (no play)",1.2,0.54,18.0,2023,262
1.0,1:08,1.0,20.0,MIN 24,0.0,13.0,"Nick Mullens pass incomplete short middle. Penalty on Nick Mullens: Intentional Grounding, 10 yards (accepted)",0.54,-2.19,18.0,2023,262
1.0,1:03,2.0,30.0,MIN 14,0.0,13.0,Nick Mullens pass complete deep right to Johnny Mundt for 32 yards (tackle by C.J. Gardner-Johnson),-2.19,1.99,18.0,2023,262
1.0,0:27,1.0,10.0,MIN 46,0.0,13.0,Nick Mullens pass incomplete short left intended for Ty Chandler,1.99,1.45,18.0,2023,262
1.0,0:26,2.0,10.0,MIN 46,0.0,13.0,Ty Chandler up the middle for 2 yards (tackle by Cameron Sutton),1.45,1.03,18.0,2023,262
2.0,15:00,3.0,8.0,MIN 48,0.0,13.0,"Penalty on Blake Brandel: False Start, 5 yards (accepted) (no play)",1.03,0.37,18.0,2023,262
2.0,15:00,3.0,13.0,MIN 43,0.0,13.0,Nick Mullens pass complete short right to Justin Jefferson for 7 yards (tackle by Alex Anzalone),0.37,-0.06,18.0,2023,262
2.0,13:57,4.0,6.0,DET 50,0.0,13.0,"Nick Mullens scrambles for 6 yards (tackle by Alex Anzalone). Penalty on Kindle Vildor: Illegal Contact, 5 yards (accepted)",-0.06,2.98,18.0,2023,262
2.0,13:43,1.0,10.0,DET 39,0.0,13.0,Nick Mullens pass incomplete deep right intended for Jordan Addison,2.98,2.44,18.0,2023,262
2.0,13:37,2.0,10.0,DET 39,0.0,13.0,Alexander Mattison left tackle for 4 yards (tackle by Jack Campbell),2.44,2.28,18.0,2023,262
2.0,12:56,3.0,6.0,DET 35,0.0,13.0,"Nick Mullens sacked by Romeo Okwara for no gain. Penalty on Brian Branch: Defensive Holding, 5 yards (accepted) (no play)",2.28,3.58,18.0,2023,262
2.0,12:29,,,,,,Timeout #1 by Detroit Lions,,,18.0,2023,262
2.0,12:29,1.0,10.0,DET 30,0.0,13.0,Nick Mullens pass complete deep middle to Justin Jefferson for 22 yards (tackle by Kerby Joseph),3.58,5.37,18.0,2023,262
2.0,11:49,1.0,8.0,DET 8,0.0,13.0,Alexander Mattison left tackle for no gain (tackle by Derrick Barnes and Jack Campbell),5.37,4.57,18.0,2023,262
2.0,11:08,2.0,8.0,DET 8,0.0,13.0,Justin Jefferson right end for -12 yards (tackle by Aidan Hutchinson),4.57,2.34,18.0,2023,262
2.0,10:16,3.0,20.0,DET 20,0.0,13.0,"Penalty on Nick Mullens: Delay of Game, 5 yards (accepted) (no play)",2.34,1.68,18.0,2023,262
2.0,10:16,3.0,25.0,DET 25,0.0,13.0,Nick Mullens pass complete short left to Justin Jefferson for 4 yards (tackle by Brian Branch),1.68,2.06,18.0,2023,262
2.0,9:24,4.0,21.0,DET 21,3.0,13.0,Greg Joseph 39 yard field goal good,2.06,3.0,18.0,2023,262
2.0,9:20,,,MIN 35,3.0,13.0,"Greg Joseph kicks off 65 yards, returned by Craig Reynolds for 26 yards (tackle by C.J. Ham)",0.0,0.67,18.0,2023,262
2.0,9:14,1.0,10.0,DET 26,3.0,13.0,David Montgomery left tackle for 1 yard (tackle by Danielle Hunter and Harrison Phillips),0.67,0.27,18.0,2023,262
2.0,8:40,2.0,9.0,DET 27,3.0,13.0,Jared Goff pass complete short left to Sam LaPorta for 9 yards (tackle by Jordan Hicks),0.27,1.33,18.0,2023,262
2.0,8:03,1.0,10.0,DET 36,3.0,13.0,David Montgomery right tackle for 2 yards (tackle by Danielle Hunter),1.33,1.06,18.0,2023,262
2.0,7:31,2.0,8.0,DET 38,3.0,13.0,Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown,1.06,0.37,18.0,2023,262
2.0,7:24,3.0,8.0,DET 38,3.0,13.0,Jared Goff pass complete short left to Sam LaPorta for 5 yards (tackle by Camryn Bynum),0.37,-0.52,18.0,2023,262
2.0,6:36,4.0,3.0,DET 43,3.0,13.0,Jack Fox punts 55 yards downed by Khalil Dorsey,-0.52,0.38,18.0,2023,262
2.0,6:31,1.0,10.0,MIN 2,3.0,13.0,Alexander Mattison up the middle for 3 yards (tackle by Benito Jones),-0.38,-0.56,18.0,2023,262
2.0,5:54,2.0,7.0,MIN 5,3.0,13.0,Nick Mullens pass complete short left to Josh Oliver for 20 yards (tackle by Kerby Joseph),-0.56,0.61,18.0,2023,262
2.0,5:21,1.0,10.0,MIN 25,3.0,13.0,Alexander Mattison right end for 6 yards (tackle by Jack Campbell),0.61,0.87,18.0,2023,262
2.0,5:04,2.0,4.0,MIN 31,3.0,13.0,Nick Mullens pass complete short left to Jordan Addison for 5 yards (tackle by Cameron Sutton),0.87,1.33,18.0,2023,262
2.0,4:24,1.0,10.0,MIN 36,3.0,13.0,Nick Mullens sacked by Aidan Hutchinson for -8 yards,1.33,-0.29,18.0,2023,262
2.0,3:44,2.0,18.0,MIN 28,3.0,13.0,Nick Mullens pass incomplete deep left intended for Justin Jefferson (defended by Cameron Sutton),-0.29,-0.96,18.0,2023,262
2.0,3:34,3.0,18.0,MIN 28,3.0,13.0,Nick Mullens pass complete short middle to Justin Jefferson for 9 yards (tackle by Jalen Reeves-Maybin),-0.96,-0.91,18.0,2023,262
2.0,2:48,4.0,9.0,MIN 37,3.0,13.0,"Ryan Wright punts 58 yards, returned by Kalif Raymond for 13 yards (tackle by Ivan Pace and Nick Vigil)",-0.91,-0.04,18.0,2023,262
2.0,2:35,1.0,10.0,DET 18,3.0,13.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,0.04,-0.49,18.0,2023,262
2.0,2:31,2.0,10.0,DET 18,3.0,13.0,Jahmyr Gibbs up the middle for 6 yards (tackle by Harrison Phillips),-0.49,-0.4,18.0,2023,262
2.0,2:00,3.0,4.0,DET 24,3.0,13.0,"Jared Goff pass complete short left to Sam LaPorta for 5 yards (tackle by Josh Metellus). Penalty on Josh Metellus: Illegal Use of Hands / Defense, 5 yards (declined)",-0.4,0.87,18.0,2023,262
2.0,1:50,,,,,,Timeout #2 by Detroit Lions,,,18.0,2023,262
2.0,1:50,1.0,10.0,DET 29,3.0,13.0,Jahmyr Gibbs up the middle for 8 yards (tackle by Ivan Pace),0.87,1.41,18.0,2023,262
2.0,1:33,2.0,2.0,DET 37,3.0,13.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard,1.41,0.83,18.0,2023,262
2.0,1:30,3.0,1.0,DET 38,3.0,13.0,Jahmyr Gibbs right end for -3 yards (tackle by Danielle Hunter and Jordan Hicks),0.83,-1.04,18.0,2023,262
2.0,1:12,,,,,,Timeout #1 by Minnesota Vikings,,,18.0,2023,262
2.0,1:12,4.0,4.0,DET 35,3.0,13.0,"Jack Fox punts 45 yards, returned by Brandon Powell for 13 yards (tackle by Malcolm Rodriguez). Penalty on Brian Asamoah: Unnecessary Roughness / Offense, 15 yards (accepted)",-1.04,-0.04,18.0,2023,262
2.0,1:12,1.0,10.0,MIN 18,3.0,13.0,Nick Mullens pass complete deep left to Justin Jefferson for 26 yards (tackle by Kerby Joseph),0.04,1.86,18.0,2023,262
2.0,1:06,1.0,10.0,MIN 44,3.0,13.0,Nick Mullens pass complete short middle to Justin Jefferson for 20 yards (tackle by Julian Okwara and Cameron Sutton),1.86,3.18,18.0,2023,262
2.0,0:46,1.0,10.0,DET 36,3.0,13.0,Nick Mullens pass complete short right to Ty Chandler for 14 yards (tackle by Jack Campbell),3.18,4.11,18.0,2023,262
2.0,0:36,1.0,10.0,DET 22,3.0,13.0,Nick Mullens sacked by Aidan Hutchinson for -9 yards,4.11,2.35,18.0,2023,262
2.0,0:32,,,,,,Timeout #2 by Minnesota Vikings,,,18.0,2023,262
2.0,0:32,2.0,19.0,DET 31,3.0,13.0,Nick Mullens pass incomplete deep left intended for Justin Jefferson (defended by Ifeatu Melifonwu),2.35,1.69,18.0,2023,262
2.0,0:27,3.0,19.0,DET 31,3.0,13.0,Nick Mullens pass complete short middle to Johnny Mundt for 6 yards (tackle by Kerby Joseph),1.69,1.8,18.0,2023,262
2.0,0:02,,,,,,Timeout #3 by Minnesota Vikings,,,18.0,2023,262
2.0,0:02,4.0,13.0,DET 25,6.0,13.0,Greg Joseph 43 yard field goal good,1.8,3.0,18.0,2023,262
3.0,15:00,,,DET 35,6.0,13.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,262
3.0,15:00,1.0,10.0,MIN 25,6.0,13.0,Ty Chandler left end for 1 yard (tackle by Tyson Alualu),0.61,0.2,18.0,2023,262
3.0,14:27,2.0,9.0,MIN 26,6.0,13.0,Nick Mullens pass complete short left to Justin Jefferson for 12 yards (tackle by Cameron Sutton),0.2,1.47,18.0,2023,262
3.0,13:53,1.0,10.0,MIN 38,6.0,13.0,Nick Mullens pass complete short left to Jordan Addison for 5 yards (tackle by Cameron Sutton and Alex Anzalone),1.47,1.6,18.0,2023,262
3.0,13:17,2.0,5.0,MIN 43,6.0,13.0,Ty Chandler left end for 19 yards (tackle by Cameron Sutton and Jack Campbell),1.6,3.05,18.0,2023,262
3.0,12:24,1.0,10.0,DET 38,6.0,13.0,Nick Mullens pass incomplete short left intended for Josh Oliver (defended by Romeo Okwara),3.05,2.51,18.0,2023,262
3.0,12:17,2.0,10.0,DET 38,6.0,13.0,Ty Chandler left end for 7 yards (tackle by Alex Anzalone and Jack Campbell),2.51,2.74,18.0,2023,262
3.0,11:39,3.0,3.0,DET 31,6.0,13.0,Nick Mullens pass incomplete short right intended for Brandon Powell,2.74,1.38,18.0,2023,262
3.0,11:34,4.0,3.0,DET 31,6.0,13.0,Nick Mullens pass complete short right to Brandon Powell for 2 yards (tackle by Cameron Sutton),1.38,-0.87,18.0,2023,262
3.0,11:29,1.0,10.0,DET 29,6.0,13.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 14 yards (tackle by Harrison Smith),0.87,1.8,18.0,2023,262
3.0,10:51,1.0,10.0,DET 43,6.0,13.0,Jared Goff pass incomplete deep middle intended for Amon-Ra St. Brown,1.8,1.25,18.0,2023,262
3.0,10:46,2.0,10.0,DET 43,6.0,13.0,David Montgomery up the middle for 4 yards (tackle by Harrison Phillips),1.25,1.09,18.0,2023,262
3.0,10:11,3.0,6.0,DET 47,6.0,13.0,Jared Goff pass complete short middle to Donovan Peoples-Jones for 5 yards (tackle by Josh Metellus),1.09,0.07,18.0,2023,262
3.0,9:33,4.0,1.0,MIN 48,6.0,13.0,Jared Goff pass complete deep right to Donovan Peoples-Jones for 20 yards,0.07,3.71,18.0,2023,262
3.0,8:56,1.0,10.0,MIN 28,6.0,13.0,Jared Goff pass complete short right to Dan Skipper for 4 yards (tackle by Josh Metellus),3.71,3.71,18.0,2023,262
3.0,8:16,2.0,6.0,MIN 24,6.0,13.0,David Montgomery left tackle for 6 yards (tackle by Camryn Bynum and Harrison Phillips),3.71,4.37,18.0,2023,262
3.0,7:33,1.0,10.0,MIN 18,6.0,13.0,"Jared Goff pass incomplete intended for Josh Reynolds. Penalty on Joejuan Williams: Defensive Pass Interference, 17 yards (accepted) (no play)",4.37,6.97,18.0,2023,262
3.0,7:23,1.0,1.0,MIN 1,6.0,13.0,Jared Goff pass incomplete short middle intended for Josh Reynolds,6.97,5.91,18.0,2023,262
3.0,7:19,2.0,1.0,MIN 1,6.0,19.0,"David Montgomery left tackle for 1 yard, touchdown",5.91,7.0,18.0,2023,262
3.0,7:14,,,MIN 15,6.0,20.0,Michael Badgley kicks extra point good,0.0,0.0,18.0,2023,262
3.0,7:14,,,DET 35,6.0,20.0,"Jack Fox kicks off 67 yards, returned by Kene Nwangwu for 28 yards (tackle by Jason Cabinda and Derrick Barnes)",0.0,0.67,18.0,2023,262
3.0,7:09,1.0,10.0,MIN 26,6.0,20.0,Nick Mullens pass complete short right to K.J. Osborn for 3 yards (tackle by Ifeatu Melifonwu),0.67,0.54,18.0,2023,262
3.0,6:45,2.0,7.0,MIN 29,6.0,20.0,Ty Chandler up the middle for 4 yards (tackle by Derrick Barnes),0.54,0.37,18.0,2023,262
3.0,6:05,3.0,3.0,MIN 33,6.0,20.0,Nick Mullens sacked by Levi Onwuzurike for -11 yards,0.37,-1.9,18.0,2023,262
3.0,5:27,4.0,14.0,MIN 22,6.0,20.0,"Ryan Wright punts 53 yards, returned by Kalif Raymond for 18 yards (tackle by Ivan Pace)",-1.9,-1.8,18.0,2023,262
3.0,5:07,1.0,10.0,DET 43,6.0,20.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Jonathan Bullard),1.8,1.79,18.0,2023,262
3.0,4:40,2.0,6.0,DET 47,6.0,20.0,Jahmyr Gibbs left tackle for 4 yards (tackle by Danielle Hunter and Harrison Phillips),1.79,1.62,18.0,2023,262
3.0,3:52,3.0,2.0,MIN 49,6.0,20.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Joejuan Williams),1.62,0.0,18.0,2023,262
3.0,3:47,4.0,2.0,MIN 49,6.0,20.0,"Jack Fox punts 49 yards, touchback.",0.0,-0.28,18.0,2023,262
3.0,3:37,1.0,10.0,MIN 20,6.0,20.0,Nick Mullens pass complete short middle to Nick Muse for 22 yards (tackle by Alex Anzalone),0.28,1.73,18.0,2023,262
3.0,3:02,1.0,10.0,MIN 42,6.0,20.0,Alexander Mattison right tackle for 11 yards (tackle by Alex Anzalone and Ifeatu Melifonwu),1.73,2.46,18.0,2023,262
3.0,2:25,1.0,10.0,DET 47,6.0,20.0,Alexander Mattison right tackle for -2 yards (tackle by Josh Paschal),2.46,1.64,18.0,2023,262
3.0,1:50,2.0,12.0,DET 49,6.0,20.0,Nick Mullens pass complete short left to Johnny Mundt for 2 yards (tackle by Alex Anzalone),1.64,1.22,18.0,2023,262
3.0,1:09,3.0,10.0,DET 47,6.0,20.0,Nick Mullens pass complete short left to Justin Jefferson for 9 yards (tackle by Cameron Sutton),1.22,0.72,18.0,2023,262
3.0,0:26,4.0,1.0,DET 38,12.0,20.0,"Nick Mullens pass complete deep right to Justin Jefferson for 38 yards, touchdown",0.72,7.0,18.0,2023,262
3.0,0:20,,,DET 15,13.0,20.0,Greg Joseph kicks extra point good,0.0,0.0,18.0,2023,262
3.0,0:20,,,MIN 35,13.0,20.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,262
3.0,0:20,1.0,10.0,DET 25,13.0,20.0,Jahmyr Gibbs left tackle for 5 yards (tackle by Danielle Hunter and Camryn Bynum),0.61,0.74,18.0,2023,262
4.0,15:00,2.0,5.0,DET 30,13.0,26.0,"Jared Goff pass complete deep left to Amon-Ra St. Brown for 70 yards, touchdown",0.74,7.0,18.0,2023,262
4.0,14:45,,,MIN 15,13.0,27.0,Michael Badgley kicks extra point good,0.0,0.0,18.0,2023,262
4.0,14:45,,,DET 35,13.0,27.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,262
4.0,14:45,1.0,10.0,MIN 25,13.0,27.0,Ty Chandler right tackle for 4 yards (tackle by Jack Campbell),0.61,0.6,18.0,2023,262
4.0,14:11,2.0,6.0,MIN 29,13.0,27.0,Nick Mullens pass complete deep left to Justin Jefferson for 29 yards (tackle by Kerby Joseph),0.6,2.79,18.0,2023,262
4.0,13:28,1.0,10.0,DET 42,19.0,27.0,"Nick Mullens pass complete deep left to Jordan Addison for 42 yards, touchdown",2.79,7.0,18.0,2023,262
4.0,13:22,,,DET 15,20.0,27.0,Greg Joseph kicks extra point good,0.0,0.0,18.0,2023,262
4.0,13:22,,,MIN 35,20.0,27.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,262
4.0,13:22,1.0,10.0,DET 25,20.0,27.0,Jared Goff pass complete short right to Kalif Raymond for 9 yards (tackle by Khyiris Tonga),0.61,1.28,18.0,2023,262
4.0,13:08,2.0,1.0,DET 34,20.0,27.0,David Montgomery left tackle for 5 yards (tackle by Harrison Smith),1.28,1.53,18.0,2023,262
4.0,12:32,1.0,10.0,DET 39,20.0,27.0,David Montgomery right tackle for 6 yards (tackle by Jaylin Williams),1.53,1.8,18.0,2023,262
4.0,11:54,2.0,4.0,DET 45,20.0,27.0,Jared Goff pass complete short middle to Josh Reynolds for 18 yards (tackle by Jordan Hicks),1.8,3.12,18.0,2023,262
4.0,11:11,1.0,10.0,MIN 37,20.0,27.0,Jahmyr Gibbs left guard for 2 yards (tackle by Josh Metellus and Harrison Phillips),3.12,2.84,18.0,2023,262
4.0,10:31,2.0,8.0,MIN 35,20.0,27.0,"Penalty on Graham Glasgow: False Start, 5 yards (accepted) (no play)",2.84,2.17,18.0,2023,262
4.0,10:31,2.0,13.0,MIN 40,20.0,27.0,Jared Goff pass complete short left to James Mitchell for 24 yards (tackle by Akayleb Evans),2.17,4.51,18.0,2023,262
4.0,9:46,1.0,10.0,MIN 16,20.0,27.0,Jared Goff pass incomplete deep right intended for Josh Reynolds,4.51,3.9,18.0,2023,262
4.0,9:40,2.0,10.0,MIN 16,20.0,27.0,Jahmyr Gibbs right end for 4 yards (tackle by Josh Metellus),3.9,3.73,18.0,2023,262
4.0,9:05,3.0,6.0,MIN 12,20.0,27.0,Jared Goff sacked by Danielle Hunter for -9 yards,3.73,2.06,18.0,2023,262
4.0,8:18,4.0,15.0,MIN 21,20.0,30.0,Michael Badgley 39 yard field goal good,2.06,3.0,18.0,2023,262
4.0,8:14,,,DET 35,20.0,30.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,18.0,2023,262
4.0,8:14,1.0,10.0,MIN 25,20.0,30.0,Nick Mullens pass complete short left to Justin Jefferson for 2 yards (tackle by C.J. Gardner-Johnson),0.61,0.33,18.0,2023,262
4.0,7:35,2.0,8.0,MIN 27,20.0,30.0,"Nick Mullens pass incomplete intended for K.J. Osborn. Penalty on Cameron Sutton: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.33,1.07,18.0,2023,262
4.0,7:30,1.0,10.0,MIN 32,20.0,30.0,Nick Mullens pass complete short middle to Johnny Mundt for 8 yards (tackle by Alex Anzalone and Jack Campbell),1.07,1.61,18.0,2023,262
4.0,7:04,2.0,2.0,MIN 40,20.0,30.0,Ty Chandler up the middle for 1 yard (tackle by Josh Paschal and Ifeatu Melifonwu),1.61,1.03,18.0,2023,262
4.0,6:42,3.0,1.0,MIN 41,20.0,30.0,Nick Mullens up the middle for 2 yards (tackle by Tyson Alualu),1.03,1.8,18.0,2023,262
4.0,5:58,1.0,10.0,MIN 43,20.0,30.0,Nick Mullens pass incomplete short right intended for Johnny Mundt,1.8,1.25,18.0,2023,262
4.0,5:51,2.0,10.0,MIN 43,20.0,30.0,Ty Chandler right tackle for 1 yard (tackle by Alim McNeill),1.25,0.69,18.0,2023,262
4.0,5:06,3.0,9.0,MIN 44,20.0,30.0,"Nick Mullens pass complete short left to Johnny Mundt for 10 yards (tackle by Cameron Sutton) DET challenged the pass completion ruling, and the play was upheld.",0.69,2.52,18.0,2023,262
4.0,4:40,1.0,10.0,DET 46,20.0,30.0,Nick Mullens pass complete short left to Ty Chandler for 6 yards (tackle by Derrick Barnes),2.52,2.72,18.0,2023,262
4.0,4:10,2.0,5.0,DET 40,20.0,30.0,Nick Mullens pass complete short middle to Justin Jefferson for 14 yards (tackle by Jack Campbell),2.72,3.84,18.0,2023,262
4.0,3:32,1.0,10.0,DET 26,20.0,30.0,Nick Mullens pass incomplete short left intended for K.J. Osborn,3.84,3.3,18.0,2023,262
4.0,3:28,2.0,10.0,DET 26,20.0,30.0,Nick Mullens pass incomplete short right intended for Brandon Powell (defended by Brian Branch),3.3,2.61,18.0,2023,262
4.0,3:23,3.0,10.0,DET 26,20.0,30.0,Nick Mullens pass short middle (defended by Ifeatu Melifonwu) intended for Jordan Addison is intercepted by Cameron Sutton at DET-14 and returned for 23 yards (tackle by Nick Mullens),2.61,-1.4,18.0,2023,262
4.0,3:11,1.0,10.0,DET 37,20.0,30.0,Jahmyr Gibbs right tackle for -4 yards (tackle by Khyiris Tonga),1.4,0.32,18.0,2023,262
4.0,3:06,,,,,,Timeout #1 by Minnesota Vikings,,,18.0,2023,262
4.0,3:06,2.0,14.0,DET 33,20.0,30.0,Jahmyr Gibbs right end for 1 yard (tackle by Jordan Hicks),0.32,-0.23,18.0,2023,262
4.0,3:01,,,,,,Timeout #2 by Minnesota Vikings,,,18.0,2023,262
4.0,3:01,3.0,13.0,DET 34,20.0,30.0,David Montgomery up the middle for 8 yards (tackle by Akayleb Evans and Jordan Hicks),-0.23,-0.59,18.0,2023,262
4.0,2:55,,,,,,Timeout #3 by Minnesota Vikings,,,18.0,2023,262
4.0,2:55,4.0,5.0,DET 42,20.0,30.0,"Jack Fox punts 58 yards, touchback.. Penalty on Jay Ward: Offensive Holding, 10 yards (accepted)",-0.59,0.38,18.0,2023,262
4.0,2:47,1.0,10.0,MIN 10,20.0,30.0,Nick Mullens pass complete short left to Jordan Addison for 5 yards (tackle by C.J. Gardner-Johnson),-0.38,-0.35,18.0,2023,262
4.0,2:22,2.0,5.0,MIN 15,20.0,30.0,Nick Mullens pass incomplete deep left intended for Jordan Addison,-0.35,-0.84,18.0,2023,262
4.0,2:16,3.0,5.0,MIN 15,20.0,30.0,Nick Mullens pass deep middle intended for Jordan Addison is intercepted by C.J. Gardner-Johnson at MIN-39 and returned for no gain (tackle by Jordan Addison),-0.84,-2.98,18.0,2023,262
4.0,2:08,1.0,10.0,MIN 39,20.0,30.0,Jared Goff pass complete short right to Josh Reynolds for 9 yards (tackle by Ivan Pace),2.98,3.66,18.0,2023,262
